Utah,Boise State,11
Utah State,Montana,2
Utah,Utah State,1
Montana,Boise State,2
Utah,Montana,4
Utah State,Boise State,4
Northern Arizona,Idaho,1
Montana State,Brigham Young B,10
Northern Arizona,Brigham Young B,2
Montana State,Denver,3
Idaho,Montana State,1
Denver,Brigham Young B,2
Northern Arizona,Montana State,4
Denver,Idaho,4
Northern Arizona,Denver,1
Brigham Young B,Idaho,2
Utah,Denver,3
Utah,Montana State,1
Denver,Boise State,14
Utah,Idaho,8
Montana State,Montana,3
Boise State,Northern Arizona,1
Denver,Utah State,1
Boise State,Montana State,1
Utah State,Montana,4
Montana,Idaho,7
Utah State,Northern Arizona,2
Idaho,Northern Arizona,3
