Butler,Indiana Wesleyan,10
Olivet Nazarene,Southern Indiana,3
Olivet Nazarene,Indiana Wesleyan,2
Indiana Wesleyan,Southern Indiana,2
Butler,Olivet Nazarene,2
Butler,Southern Indiana,9
Saint Louis,Notre Dame B,11
Kentucky B,Illinois-Chicago,3
Saint Louis,Kentucky B,10
Illinois-Chicago,Iowa State B,1
Notre Dame B,Illinois-Chicago,2
Iowa State B,Kentucky B,6
Saint Louis,Illinois-Chicago,11
Iowa State B,Notre Dame B,1
Saint Louis,Iowa State B,11
Notre Dame B,Kentucky B,2
Knox,Eastern Illinois,9
Western Michigan,Northern Michigan,4
Knox,Northern Michigan,11
North Park,Western Michigan,5
Western Michigan,Eastern Illinois,1
North Park,Northern Michigan,4
Knox,Western Michigan,9
North Park,Eastern Illinois,11
Knox,North Park,3
Northern Michigan,Eastern Illinois,9
Wheaton Illinois,Dayton B,8
Rose-Hulman,Marquette B,2
Wheaton Illinois,Marquette B,6
Valparaiso,Rose-Hulman,9
Rose-Hulman,Dayton B,9
Valparaiso,Marquette B,11
Wheaton Illinois,Rose-Hulman,7
Valparaiso,Dayton B,11
Valparaiso,Wheaton Illinois,10
Marquette B,Dayton B,8
Eastern Illinois,Southern Indiana,1
Illinois-Chicago,Dayton B,3
Southern Indiana,Dayton B,4
Illinois-Chicago,Eastern Illinois,9
Illinois-Chicago,Southern Indiana,6
Eastern Illinois,Dayton B,15
Rose-Hulman,Indiana Wesleyan,6
Saint Louis,Western Michigan,3
Saint Louis,Indiana Wesleyan,8
Rose-Hulman,Western Michigan,2
