North Carolina,Duke,6
Carleton College-GoP,Richmond,4
North Carolina,Carleton College-GoP,11
Richmond,Duke,5
North Carolina,Richmond,9
Carleton College-GoP,Duke,3
Georgia Tech,North Carolina-Wilmington,1
Georgetown,Tennessee,4
North Carolina-Wilmington,Tennessee,6
Georgia Tech,Georgetown,1
North Carolina-Wilmington,Georgetown,5
Georgia Tech,Tennessee,3
North Carolina State,Temple,10
Florida State,Appalachian State,4
North Carolina State,Appalachian State,7
Florida State,Temple,2
North Carolina State,Florida State,11
Temple,Appalachian State,1
Notre Dame,South Carolina,1
Emory,Clemson,6
Notre Dame,Emory,4
South Carolina,Clemson,6
Emory,South Carolina,2
Notre Dame,Clemson,3
Temple,Richmond,4
Duke,Appalachian State,5
South Carolina,Georgetown,3
Clemson,Tennessee,5
Duke,Clemson,7
Tennessee,Appalachian State,4
North Carolina,North Carolina State,3
North Carolina,North Carolina-Wilmington,8
North Carolina State,Emory,6
North Carolina,Florida State,6
North Carolina-Wilmington,Notre Dame,5
Emory,Georgia Tech,3
North Carolina State,Carleton College-GoP,10
North Carolina-Wilmington,Emory,6
Florida State,Notre Dame,4
Florida State,Carleton College-GoP,3
Notre Dame,Georgia Tech,2
Georgia Tech,Carleton College-GoP,4
South Carolina,Georgetown,1
Georgetown,Temple,3
South Carolina,Richmond,11
Richmond,Temple,1
