North Carolina-Charlotte,Wingate,6
Georgia B,Edinboro,8
North Carolina-Charlotte,Edinboro,10
Georgia B,Wingate,3
North Carolina-Charlotte,Georgia B,8
Wingate,Edinboro,2
Anderson,Charleston,1
Appalachian State,Anderson,12
Appalachian State,Charleston,12
Charleston,Edinboro,4
Anderson,Wingate,2
Appalachian State,Georgia B,7
Charleston,Wingate,3
Wingate,Edinboro,3
Charleston,Edinboro,1
North Carolina-Charlotte,Appalachian State,3
North Carolina-Charlotte,Georgia B,8
Appalachian State,Anderson,1
Anderson,Georgia B,5
