South Carolina,Georgia B,11
South Florida,Charleston,6
South Carolina,South Florida,7
North Carolina-Asheville,Charleston,6
Georgia B,Charleston,6
South Florida,North Carolina-Asheville,3
South Carolina,Charleston,9
North Carolina-Asheville,Georgia B,7
South Carolina,North Carolina-Asheville,8
South Florida,Georgia B,8
Emory,Florida Atlantic,7
Luther,North Florida,5
Luther,Emory,2
Chicago,North Florida,4
Florida Atlantic,North Florida,3
Luther,Chicago,2
Emory,North Florida,10
Chicago,Florida Atlantic,2
Emory,Chicago,5
Luther,Florida Atlantic,8
Middlebury,Florida B,10
Florida Tech,Wisconsin-Eau Claire,6
Middlebury,Wisconsin-Eau Claire,8
Carleton College-GoP,Florida Tech,9
Florida Tech,Florida B,2
Carleton College-GoP,Wisconsin-Eau Claire,5
Middlebury,Florida Tech,8
Carleton College-GoP,Florida B,7
Middlebury,Carleton College-GoP,5
Wisconsin-Eau Claire,Florida B,1
California-San Diego,Carleton Hot Karls,8
Georgia Southern,Georgia College,1
California-San Diego,Georgia Southern,6
Appalachian State,Georgia College,6
Georgia College,Carleton Hot Karls,6
Appalachian State,Georgia Southern,3
California-San Diego,Georgia College,7
Appalachian State,Carleton Hot Karls,9
California-San Diego,Appalachian State,4
Georgia Southern,Carleton Hot Karls,7
Charleston,Florida B,7
North Florida,Carleton Hot Karls,2
Florida B,Carleton Hot Karls,3
Charleston,Carleton Hot Karls,6
Florida B,North Florida,2
Charleston,North Florida,2
South Carolina,Middlebury,4
South Carolina,Carleton College-GoP,8
Middlebury,South Florida,10
South Carolina,Emory,7
Carleton College-GoP,California-San Diego,1
South Florida,Luther,1
Middlebury,Appalachian State,7
Carleton College-GoP,South Florida,15
California-San Diego,Appalachian State,1
California-San Diego,Emory,2
Appalachian State,Luther,1
Luther,Emory,9
Chicago,North Carolina-Asheville,2
North Carolina-Asheville,Georgia Southern,2
Chicago,Georgia College,6
North Carolina-Asheville,Florida Atlantic,4
Georgia Southern,Wisconsin-Eau Claire,6
Georgia College,Florida Tech,7
Chicago,Georgia B,8
Georgia College,Georgia Southern,3
Florida Tech,Wisconsin-Eau Claire,2
Wisconsin-Eau Claire,Florida Atlantic,2
Florida Tech,Georgia B,1
Georgia B,Florida Atlantic,6
