Wisconsin-Eau Claire,Wisconsin-Platteville,1
Minnesota-Duluth,Northwestern B,8
Wisconsin-Oshkosh,UW Stevens Point,1
Minnesota-Duluth,Wisconsin-Platteville,1
Minnesota State-Mankato,Wisconsin-Oshkosh,2
UW Stevens Point,Northwestern B,2
Minnesota State-Mankato,Wisconsin-Platteville,3
Wisconsin-Eau Claire,Northwestern B,2
Minnesota-Duluth,Wisconsin-Oshkosh,2
Minnesota State-Mankato,Northwestern B,3
Wisconsin-Platteville,Wisconsin-Oshkosh,4
Wisconsin-Eau Claire,UW Stevens Point,5
Wisconsin-Platteville,UW Stevens Point,1
Minnesota State-Mankato,Minnesota-Duluth,1
Wisconsin-Eau Claire,Wisconsin-Oshkosh,3
Minnesota-Duluth,UW Stevens Point,15
Minnesota State-Mankato,Wisconsin-Eau Claire,3
Northwestern B,Wisconsin-Oshkosh,2
Minnesota State-Mankato,UW Stevens Point,15
Minnesota-Duluth,Wisconsin-Eau Claire,3
Northwestern B,Wisconsin-Platteville,15
Macalester,Milwaukee School of Engineering,2
Michigan Tech,Pacific Lutheran,8
Macalester,Pacific Lutheran,3
Michigan Tech,Milwaukee School of Engineering,8
Milwaukee School of Engineering,Pacific Lutheran,1
Michigan Tech,Macalester,5
Portland,Ohio Northern,3
Missouri S&T,Grinnell,4
Portland,Grinnell,11
Missouri S&T,Ohio Northern,2
Portland,Missouri S&T,2
North Park,Indiana Wesleyan,3
Puget Sound,St Olaf,1
Puget Sound,North Park,5
St Olaf,Indiana Wesleyan,8
Puget Sound,Indiana Wesleyan,5
St Olaf,North Park,7
Oberlin,Rose-Hulman,2
Brandeis,Winona State,1
Brandeis,Oberlin,2
Winona State,Rose-Hulman,4
Winona State,Oberlin,1
Brandeis,Rose-Hulman,7
Michigan Tech,Portland,5
Michigan Tech,Ohio Northern,8
St Olaf,Portland,2
St Olaf,Missouri S&T,1
Portland,Puget Sound,1
Missouri S&T,Michigan Tech,2
St Olaf,Brandeis,2
Puget Sound,Winona State,3
Portland,Macalester,2
Michigan Tech,Rose-Hulman,10
Missouri S&T,North Park,3
Brandeis,Pacific Lutheran,6
St Olaf,Ohio Northern,4
Puget Sound,Grinnell,4
Winona State,Milwaukee School of Engineering,3
Portland,Indiana Wesleyan,13
Macalester,Oberlin,4
