Oklahoma,Oklahoma State,5
Oklahoma State,Colorado College,7
Oklahoma,John Brown,7
Oklahoma State,Nebraska,9
Colorado College,Arkansas,5
Oklahoma,Colorado B,4
John Brown,Missouri,11
Oklahoma State,Colorado School of Mines-B,14
Nebraska,Arkansas State,11
Colorado College,Hendrix,14
Arkansas,Nebraska-Omaha,12
Oklahoma,Dallas Baptist,5
Colorado B,Central Arkansas,6
Missouri,Tulsa,12
John Brown,Oklahoma B,11
Dallas Baptist,Arkansas State,15
Arkansas State,Hendrix,2
Dallas Baptist,Oklahoma B,2
Arkansas State,Colorado School of Mines-B,5
Hendrix,Nebraska-Omaha,2
Dallas Baptist,Central Arkansas,2
Oklahoma B,Tulsa,6
John Brown,Colorado College,5
Nebraska,Colorado B,15
Nebraska,Arkansas,1
Colorado B,Missouri,7
Arkansas,Missouri,6
Tulsa,Nebraska-Omaha,8
Nebraska-Omaha,Colorado School of Mines-B,7
Tulsa,Central Arkansas,2
Colorado School of Mines-B,Central Arkansas,2
