Connecticut,Dayton,3
Johns Hopkins,Tennessee-Chattanooga,6
Connecticut,Tennessee-Chattanooga,3
Johns Hopkins,Virginia,1
Johns Hopkins,Dayton,2
Virginia,Tennessee-Chattanooga,1
Johns Hopkins,Connecticut,3
Virginia,Dayton,7
Virginia,Connecticut,11
Tennessee-Chattanooga,Dayton,8
Indiana,Georgia Tech,3
Clemson,George Mason,2
Georgia Tech,Clemson,4
Ohio,George Mason,8
Indiana,George Mason,8
Ohio,Clemson,6
Georgia Tech,George Mason,3
Indiana,Ohio,6
Georgia Tech,Ohio,4
Indiana,Clemson,4
Vermont,Georgia Southern,9
Purdue,Pennsylvania,2
Vermont,Purdue,6
James Madison,Pennsylvania,2
Pennsylvania,Georgia Southern,3
Purdue,James Madison,6
Vermont,Pennsylvania,1
James Madison,Georgia Southern,5
Vermont,James Madison,2
Purdue,Georgia Southern,10
Georgetown,New Hampshire,15
Tennessee,Elon,2
Tennessee,Georgetown,5
Case Western Reserve,Elon,5
New Hampshire,Elon,3
Tennessee,Case Western Reserve,5
Georgetown,Elon,5
Case Western Reserve,New Hampshire,2
Georgetown,Case Western Reserve,1
Tennessee,New Hampshire,5
Dayton,Georgia Southern,2
Elon,George Mason,1
Elon,Dayton,1
Georgia Southern,George Mason,5
Dayton,George Mason,4
Elon,Georgia Southern,1
Virginia,Johns Hopkins,6
Johns Hopkins,Purdue,2
Virginia,Vermont,5
Johns Hopkins,Georgia Tech,3
Purdue,Tennessee,3
Vermont,Georgetown,8
Virginia,Indiana,1
Vermont,Purdue,1
Georgetown,Tennessee,2
Tennessee,Georgia Tech,9
Georgetown,Indiana,4
Indiana,Georgia Tech,1
Clemson,New Hampshire,2
Clemson,Pennsylvania,3
New Hampshire,Ohio,1
Clemson,Connecticut,1
Pennsylvania,Case Western Reserve,3
New Hampshire,James Madison,1
Ohio,Tennessee-Chattanooga,2
Ohio,Pennsylvania,3
Tennessee-Chattanooga,Case Western Reserve,3
Case Western Reserve,Connecticut,5
Tennessee-Chattanooga,James Madison,5
James Madison,Connecticut,5
