Belmont,Illinois B,6
Union Tennessee,Georgia Tech B,9
Union Tennessee,Illinois B,9
Belmont,Georgia Tech B,3
Georgia Tech B,Illinois B,2
Belmont,Union Tennessee,1
Indiana B,Alabama B,2
Truman State,Alabama-Huntsville B,8
Alabama B,Alabama-Huntsville B,1
Truman State,Indiana B,7
Truman State,Alabama B,10
Indiana B,Alabama-Huntsville B,2
Truman State,Illinois B,9
Georgia Tech B,Alabama B,3
Belmont,Alabama-Huntsville B,1
Union Tennessee,Indiana B,4
Illinois B,Union Tennessee,15
Indiana B,Alabama-Huntsville B,6
Union Tennessee,Alabama-Huntsville B,15
Truman State,Belmont,10
Truman State,Alabama B,15
Belmont,Georgia Tech B,12
Alabama B,Union Tennessee,3
Georgia Tech B,Indiana B,6
