Washington State,Western Washington B,13
Oregon,Washington State,11
Oregon,Western Washington B,13
Oregon State,Humboldt State,5
Lewis,Washington C,12
Oregon State,Washington C,13
Lewis,Humboldt State,5
Oregon State,Lewis,9
Humboldt State,Washington C,10
Whitman,Washington B,6
Nevada-Reno,Oregon State B,11
Whitman,Oregon State B,12
Nevada-Reno,Washington B,10
Whitman,Nevada-Reno,6
Washington B,Oregon State B,5
Gonzaga,Portland State,9
Puget Sound,Lewis,12
Gonzaga,Lewis,13
Puget Sound,Portland State,7
Gonzaga,Puget Sound,6
Portland State,Lewis,12
Oregon,Oregon State,7
Oregon,Whitman,7
Oregon State,Gonzaga,5
Oregon,Puget Sound,12
Whitman,Lewis,10
Oregon State,Nevada-Reno,7
Gonzaga,Washington State,2
Nevada-Reno,Lewis,4
Nevada-Reno,Washington State,4
Lewis,Puget Sound,4
Puget Sound,Washington State,10
Whitman,Gonzaga,8
Western Washington B,Washington C,1
Washington B,Lewis,15
Humboldt State,Portland State,4
Washington B,Western Washington B,7
Humboldt State,Lewis,13
Oregon State B,Washington C,3
Western Washington B,Oregon State B,6
Portland State,Washington C,8
Washington B,Humboldt State,2
Portland State,Western Washington B,9
Washington C,Lewis,10
Washington B,Oregon State B,8
