Harvard,Oklahoma,4

Kennesaw State,Kansas,2

Texas-Dallas,Alabama-Huntsville,6

South Carolina,Texas A&M,2

Michigan,Rutgers,3

Northwestern,Northeastern,1

Georgia,Texas A&M,1

South Carolina,Illinois State,2

Central Florida,Tufts,2

Northeastern,LSU,1

Brigham Young,Texas,1

Kansas,Cornell,3

Texas-Dallas,Kennesaw State,4

Pittsburgh,Northwestern,6

Florida State,Virginia Tech,4

Michigan,Boston College,4

Rutgers,Florida,2

Carleton College,Harvard,2

Kennesaw State,Northwestern,5

Central Florida,Texas,6

Emory,Oklahoma,4

Cornell,Cincinnati,3

Georgia,Rutgers,7

Brown,Texas-Dallas,2

Virginia Tech,Wisconsin,1

Harvard,LSU,1

Minnesota,Florida State,3

Illinois State,Boston College,1

Michigan,Florida,7

Brigham Young,South Florida,6

South Carolina,Alabama-Huntsville,3

Texas A&M,Northeastern,3

Temple,Kansas,1

Central Florida,Virginia Tech,7

Brown,Minnesota,6

Alabama-Huntsville,Cornell,4

Oklahoma,Illinois State,1

Wisconsin,Brigham Young,1

Tufts,Temple,7

Florida State,Cincinnati,5

Pittsburgh,South Florida,10

Carleton College,Emory,5

Temple,Boston College,5

Brigham Young,LSU,4

Tufts,Emory,1

Pittsburgh,Carleton College,2

Cincinnati,South Florida,3

Texas,Minnesota,2

Wisconsin,Florida,2

Brown,Georgia,4

Cincinnati,Alabama-Huntsville,2

Texas A&M,Virginia Tech,6

Michigan,Emory,7

Brigham Young,Northwestern,4

Texas-Dallas,Northeastern,3

Oklahoma,South Florida,8

Texas,LSU,3

Kennesaw State,Temple,5

Minnesota,Harvard,2

Florida State,Boston College,6

Central Florida,Illinois State,4

South Carolina,Rutgers,2

Virginia Tech,Boston College,6

Florida,Northwestern,1

Georgia,Minnesota,2

Oklahoma,Cincinnati,6

Texas,Tufts,2

Brigham Young,Pittsburgh,1

Texas-Dallas,South Florida,9

Carleton College,Kansas,8

LSU,Wisconsin,3

Brown,Cornell,6

Michigan,Texas A&M,4

Northeastern,South Carolina,3

Harvard,Temple,9

Brown,Northwestern,2

Florida,Kansas,8

Texas-Dallas,Illinois State,1

Central Florida,Carleton College,5

Brigham Young,Cincinnati,8

Texas A&M,Florida State,6

Georgia,Oklahoma,4

Michigan,Cornell,13

Pittsburgh,Wisconsin,3

Emory,Boston College,2

Kennesaw State,Tufts,2

Alabama-Huntsville,Harvard,1

Minnesota,Rutgers,1

Pittsburgh,Central Florida,6

Georgia,LSU,3

Kansas,Illinois State,1

Temple,South Florida,5

Brown,Emory,8

Brigham Young,Carleton College,3

Northeastern,Kennesaw State,3

South Carolina,Florida State,9

Wisconsin,Tufts,1

Alabama-Huntsville,Virginia Tech,1

Texas,Rutgers,6

Cornell,Florida,1

Florida Gulf Coast,Embry-Riddle Florida,4

North Florida,Northwestern B,13

Florida B,Florida Tech B,8

High Point,Boston College B,1

Stetson,Florida Tech B,1

Embry-Riddle Florida,South Florida B,7

Florida Gulf Coast,Florida State B,2

Florida B,Boston College B,7

Central Florida B,High Point,2

Florida Gulf Coast,Central Florida B,2

Boston College B,Stetson,7

Florida B,Embry-Riddle Florida,8

