Haverford,Catholic,2
New Jersey Tech,Franklin & Marshall,6
Villanova,Haverford,7
Catholic,Franklin & Marshall,9
Villanova,New Jersey Tech,10
Haverford,Franklin & Marshall,13
Villanova,Franklin & Marshall,13
Catholic,New Jersey Tech,10
Villanova,Catholic,5
Haverford,New Jersey Tech,13
Pennsylvania,Swarthmore,8
Muhlenberg,Millersville,2
Pennsylvania,Muhlenberg,9
Swarthmore,Millersville,10
Pennsylvania,Millersville,10
Swarthmore,Muhlenberg,8
West Chester,Jefferson,6
Delaware,Villanova B,10
West Chester,Villanova B,9
Delaware,Jefferson,11
Delaware,West Chester,1
Villanova B,Jefferson,11
Muhlenberg,Villanova B,4
Millersville,Jefferson,4
Swarthmore,West Chester,2
Delaware,Pennsylvania,3
Villanova,Delaware,2
Pennsylvania,Haverford,8
Swarthmore,Catholic,4
Villanova B,Millersville,1
Muhlenberg,New Jersey Tech,15
