Cedarville,Cornell B,11
Virginia Tech B,William & Mary B,2
Cedarville,William & Mary B,13
Maryland B,Virginia Tech B,1
Virginia Tech B,Cornell B,7
Maryland B,William & Mary B,2
Cedarville,Virginia Tech B,9
Maryland B,Cornell B,8
Cedarville,Maryland B,8
William & Mary B,Cornell B,5
High Point,Virginia B,1
South Carolina B,James Madison B,1
South Carolina B,High Point,4
Wake Forest,James Madison B,2
James Madison B,Virginia B,3
South Carolina B,Wake Forest,7
James Madison B,High Point,1
Virginia B,Wake Forest,2
High Point,Wake Forest,1
South Carolina B,Virginia B,2
Cedarville,South Carolina B,6
Cedarville,James Madison B,10
South Carolina B,High Point,1
James Madison B,Virginia Tech B,4
High Point,Maryland B,3
Virginia Tech B,Maryland B,15
Wake Forest,Cornell B,3
Cornell B,Virginia B,4
Wake Forest,William & Mary B,4
William & Mary B,Virginia B,3
