Wisconsin-Milwaukee,Wisconsin B,2
Wisconsin-Whitewater,Toledo,12
Wisconsin-Whitewater,Wisconsin-Milwaukee,3
Michigan State,Toledo,2
Wisconsin B,Toledo,1
Wisconsin-Whitewater,Michigan State,7
Wisconsin-Milwaukee,Toledo,3
Wisconsin B,Michigan State,2
Wisconsin-Milwaukee,Michigan State,4
Wisconsin-Whitewater,Wisconsin B,4
Michigan B,Loyola-Chicago,1
Northern Iowa,DePaul,2
Michigan B,DePaul,1
Grand Valley State,Northern Iowa,5
Loyola-Chicago,Northern Iowa,9
Grand Valley State,DePaul,3
Grand Valley State,Michigan B,2
Loyola-Chicago,DePaul,2
Michigan B,Northern Iowa,2
Grand Valley State,Loyola-Chicago,2
Wisconsin-Platteville,Michigan State B,11
Purdue B,Illinois State B,6
Wisconsin-Platteville,Purdue B,1
Indiana B,Illinois State B,7
Michigan State B,Illinois State B,1
Purdue B,Indiana B,2
Wisconsin-Platteville,Indiana B,10
Purdue B,Michigan State B,3
Wisconsin-Platteville,Illinois State B,4
Indiana B,Michigan State B,2
Missouri State,Wisconsin C,11
Washington University B,Wisconsin-Milwaukee B,7
Missouri State,Washington University B,6
Illinois B,Wisconsin-Milwaukee B,4
Wisconsin C,Wisconsin-Milwaukee B,8
Illinois B,Washington University B,3
Missouri State,Wisconsin-Milwaukee B,7
Missouri State,Illinois B,2
Washington University B,Wisconsin C,2
Wisconsin-Whitewater,Grand Valley State,1
Wisconsin-Whitewater,Michigan B,8
Grand Valley State,Wisconsin-Milwaukee,3
Wisconsin-Whitewater,Michigan State,3
Michigan B,Wisconsin B,7
Wisconsin-Milwaukee,Wisconsin-Platteville,5
Grand Valley State,Northern Iowa,9
Michigan State,DePaul,1
Wisconsin B,Missouri State,1
Wisconsin-Platteville,Loyola-Chicago,3
Northern Iowa,Toledo,4
Loyola-Chicago,Missouri State,15
Missouri State,DePaul,4
Loyola-Chicago,Toledo,15
Wisconsin B,Wisconsin-Platteville,4
Wisconsin B,Michigan State,15
Wisconsin-Platteville,Northern Iowa,2
Wisconsin-Milwaukee,Michigan B,4
Illinois B,Purdue B,4
Purdue B,Washington University B,3
Illinois B,Indiana B,3
Purdue B,Wisconsin-Milwaukee B,3
Washington University B,Michigan State B,1
Indiana B,Wisconsin C,1
Illinois B,Illinois State B,1
Illinois State B,Wisconsin-Milwaukee B,1
Wisconsin-Milwaukee B,Michigan State B,3
Illinois State B,Wisconsin C,5
DePaul,Toledo,15
