Haverford,SUNY-Geneseo,2
Kenyon,Jefferson,8
Bowdoin,SUNY-Geneseo,7
Haverford,Jefferson,4
Bowdoin,Kenyon,7
SUNY-Geneseo,Jefferson,6
Bowdoin,Jefferson,11
Haverford,Kenyon,6
Bowdoin,Haverford,10
SUNY-Geneseo,Kenyon,10
Bates College,Swarthmore,5
Army,Muhlenberg,7
Bates College,Muhlenberg,7
Army,Swarthmore,2
Bates College,Army,6
Swarthmore,Muhlenberg,2
Franciscan,Catholic,4
Brandeis,Bentley,8
Franciscan,Bentley,5
Brandeis,Catholic,7
Brandeis,Franciscan,2
Bentley,Catholic,7
Brandeis,Bates College,6
Franciscan,Army,3
Bentley,Swarthmore,4
Catholic,Muhlenberg,5
Muhlenberg,Kenyon,2
Swarthmore,Kenyon,6
Muhlenberg,Jefferson,5
Catholic,Kenyon,15
Swarthmore,Jefferson,3
Swarthmore,Catholic,15
Bowdoin,Brandeis,7
Bowdoin,Bates College,8
Brandeis,Franciscan,3
Bowdoin,Bentley,5
Bates College,Army,2
Franciscan,Haverford,3
Brandeis,SUNY-Geneseo,4
Bentley,SUNY-Geneseo,4
Bentley,Army,8
SUNY-Geneseo,Haverford,6
Haverford,Army,15
