Winona State,Milwaukee School of Engineering,7
Marquette,Coe,13
Loyola-Chicago,Coe,13
Marquette,Milwaukee School of Engineering,10
Marquette,Loyola-Chicago,6
Winona State,Coe,11
Marquette,Winona State,9
Loyola-Chicago,Milwaukee School of Engineering,8
Winona State,Loyola-Chicago,3
Milwaukee School of Engineering,Coe,9
Wisconsin-Whitewater,Marquette B,9
Northern Illinois,Illinois State B,1
Valparaiso,Marquette B,9
Wisconsin-Whitewater,Illinois State B,4
Wisconsin-Whitewater,Valparaiso,2
Northern Illinois,Marquette B,1
Wisconsin-Whitewater,Northern Illinois,4
Valparaiso,Illinois State B,6
Illinois State B,Marquette B,3
Valparaiso,Northern Illinois,1
Truman State,Olivet Nazarene,6
North Park,Carthage College,12
Purdue B,Carthage College,8
Olivet Nazarene,North Park,1
North Park,Purdue B,10
Truman State,Carthage College,12
Truman State,North Park,3
Olivet Nazarene,Purdue B,5
Olivet Nazarene,Carthage College,6
Truman State,Purdue B,11
Wheaton Illinois,Illinois-Chicago,5
Grand Valley State,Wisconsin-Stout,11
Southern Illinois-Edwardsville,Wisconsin-Stout,10
Grand Valley State,Illinois-Chicago,7
Grand Valley State,Southern Illinois-Edwardsville,6
Wheaton Illinois,Wisconsin-Stout,10
Illinois-Chicago,Southern Illinois-Edwardsville,2
Grand Valley State,Wheaton Illinois,7
Illinois-Chicago,Wisconsin-Stout,6
Wheaton Illinois,Southern Illinois-Edwardsville,6
Marquette,Truman State,4
Marquette,Grand Valley State,2
Truman State,Winona State,4
Marquette,Valparaiso,9
Grand Valley State,Olivet Nazarene,4
Truman State,Wheaton Illinois,10
Winona State,Wisconsin-Whitewater,1
Valparaiso,North Park,4
Olivet Nazarene,Northern Illinois,1
Wheaton Illinois,Loyola-Chicago,1
Winona State,Illinois-Chicago,10
Grand Valley State,Winona State,10
Wisconsin-Whitewater,Olivet Nazarene,8
Olivet Nazarene,Valparaiso,4
Wisconsin-Whitewater,Wheaton Illinois,2
Wheaton Illinois,Valparaiso,4
Illinois State B,Northern Illinois,6
Illinois State B,Loyola-Chicago,2
Northern Illinois,North Park,8
Illinois State B,Illinois-Chicago,5
Loyola-Chicago,Marquette B,5
Northern Illinois,Southern Illinois-Edwardsville,4
North Park,Milwaukee School of Engineering,1
Illinois State B,Carthage College,10
Marquette B,Purdue B,6
Southern Illinois-Edwardsville,Coe,7
Milwaukee School of Engineering,Wisconsin-Stout,4
North Park,Loyola-Chicago,3
Southern Illinois-Edwardsville,Marquette B,1
Marquette B,Illinois-Chicago,4
Southern Illinois-Edwardsville,Milwaukee School of Engineering,1
Milwaukee School of Engineering,Illinois-Chicago,15
Purdue B,Wisconsin-Stout,11
Purdue B,Carthage College,9
Wisconsin-Stout,Coe,1
Coe,Carthage College,15
