Wisconsin-Milwaukee,Iowa,1
Marquette,Saint Louis University,1
Saint Louis University,Iowa,3
Marquette,Wisconsin-Milwaukee,1
Iowa,Marquette,1
Wisconsin-Milwaukee,Saint Louis University,1
St Olaf,St John's,9
Missouri State,Missouri,4
St Olaf,Missouri,6
Missouri State,St John's,3
St Olaf,Missouri State,4
Missouri,St John's,6
Northern Iowa,Wisconsin-Milwaukee B,12
Wisconsin C,Southern Illinois-Edwardsville,3
Northern Iowa,Wisconsin C,3
Southern Illinois-Edwardsville,Wisconsin-Milwaukee B,11
Northern Iowa,Southern Illinois-Edwardsville,10
Wisconsin C,Wisconsin-Milwaukee B,13
Saint Louis University,Northern Iowa,6
Iowa,Wisconsin C,1
Missouri,Southern Illinois-Edwardsville,5
St John's,Wisconsin-Milwaukee B,10
St Olaf,Marquette,5
Missouri State,Wisconsin-Milwaukee,6
