University of New Mexico,Colorado State B,7
Brigham Young B,Arizona State C,7
Grand Canyon,The University of Texas at El Paso,4
Colorado State B,Arizona State C,7
Grand Canyon,Brigham Young B,3
University of New Mexico,The University of Texas at El Paso,10
Colorado State B,The University of Texas at El Paso,6
Grand Canyon,Arizona State C,7
University of New Mexico,Brigham Young B,8
Colorado State B,Grand Canyon,3
University of New Mexico,Arizona State C,9
Brigham Young B,The University of Texas at El Paso,8
Colorado State B,Brigham Young B,9
University of New Mexico,Grand Canyon,6
Arizona State C,The University of Texas at El Paso,2
Denver,Arizona State B,5
Arizona B,Air Force B,2
Arizona State B,Northern Arizona,5
Denver,Air Force B,9
Northern Arizona,Arizona B,11
Arizona State B,Air Force B,10
Denver,Arizona B,6
Northern Arizona,Air Force B,9
Arizona State B,Arizona B,6
Northern Arizona,Denver,5
University of New Mexico,Northern Arizona,9
Northern Arizona,Denver,1
University of New Mexico,Grand Canyon,11
Denver,Colorado State B,2
Grand Canyon,Arizona State B,3
Grand Canyon,Denver,4
Arizona State B,Colorado State B,4
Air Force B,The University of Texas at El Paso,5
The University of Texas at El Paso,Arizona B,3
Air Force B,Arizona State C,1
Arizona B,Arizona State C,1
