Marist,SUNY-Stony Brook,2
SUNY-Binghamton,Cornell B,8
NYU,Hofstra,3
Columbia,Rowan,1
SUNY-Stony Brook,Cornell B,9
SUNY-Binghamton,Hofstra,7
NYU,Columbia,1
Marist,Tufts B,6
SUNY-Binghamton,Tufts B,9
Marist,NYU,3
Rowan,Cornell B,5
Columbia,Hofstra,1
Marist,SUNY-Binghamton,3
Rowan,Hofstra,6
SUNY-Stony Brook,Tufts B,9
SUNY-Stony Brook,NYU,2
Rowan,Tufts B,4
Columbia,Marist,1
Hofstra,Cornell B,3
NYU,Tufts B,2
Columbia,Cornell B,6
SUNY-Binghamton,SUNY-Stony Brook,3
Columbia,SUNY-Stony Brook,6
Hofstra,Tufts B,3
Marist,Cornell B,3
SUNY-Binghamton,Rowan,2
SUNY-Stony Brook,Rowan,3
NYU,SUNY-Binghamton,4
Columbia,Tufts B,9
Marist,Hofstra,4
SUNY-Stony Brook,Hofstra,6
Columbia,SUNY-Binghamton,5
NYU,Rowan,1
Cornell B,Tufts B,1
NYU,Cornell B,15
Marist,Rowan,5
