Rutgers,Wake Forest,13
Liberty,American,11
Liberty,Rutgers,1
North Carolina B,American,7
Wake Forest,American,6
Liberty,North Carolina B,1
Rutgers,American,11
North Carolina B,Wake Forest,13
Rutgers,North Carolina B,4
Liberty,Wake Forest,12
Princeton,Towson,7
Shippensburg,Maryland-Baltimore County,1
Princeton,Shippensburg,5
Drexel University,Maryland-Baltimore County,7
Maryland-Baltimore County,Towson,4
Drexel University,Shippensburg,7
Princeton,Maryland-Baltimore County,11
Drexel University,Towson,6
Princeton,Drexel University,1
Shippensburg,Towson,9
Brandeis,Salisbury,9
Cedarville,Navy,2
Brandeis,Cedarville,7
Lehigh,Navy,7
Salisbury,Navy,5
Cedarville,Lehigh,5
Brandeis,Navy,8
Lehigh,Salisbury,10
Brandeis,Lehigh,7
Cedarville,Salisbury,12
RIT,Christopher Newport,5
West Chester,East Carolina,2
RIT,West Chester,1
Virginia Commonwealth,East Carolina,1
Christopher Newport,East Carolina,3
West Chester,Virginia Commonwealth,1
RIT,East Carolina,4
Virginia Commonwealth,Christopher Newport,4
RIT,Virginia Commonwealth,6
West Chester,Christopher Newport,8
Liberty,Brandeis,1
Liberty,RIT,1
Brandeis,Princeton,2
Liberty,Drexel University,5
RIT,Cedarville,4
Brandeis,West Chester,4
Princeton,Rutgers,1
Princeton,RIT,2
Rutgers,Cedarville,4
Cedarville,Drexel University,1
Rutgers,West Chester,7
Drexel University,West Chester,5
Lehigh,North Carolina B,6
North Carolina B,Virginia Commonwealth,1
Lehigh,Shippensburg,9
North Carolina B,Maryland-Baltimore County,6
Virginia Commonwealth,Salisbury,10
Lehigh,Christopher Newport,4
Shippensburg,Wake Forest,8
Shippensburg,Virginia Commonwealth,2
Maryland-Baltimore County,Salisbury,5
Christopher Newport,Wake Forest,8
East Carolina,Navy,3
East Carolina,American,6
Navy,Towson,12
Towson,American,4
