Appalachian State,Tennessee,1
Ohio State,Dartmouth,10
North Carolina,Ohio State,1
Appalachian State,Dartmouth,1
North Carolina,Dartmouth,6
Ohio State,Tennessee,5
North Carolina,Tennessee,8
Ohio State,Appalachian State,6
North Carolina,Appalachian State,11
Dartmouth,Tennessee,3
Penn State,Clemson,2
Maryland,Tulane,8
Massachusetts,Tulane,11
Maryland,Penn State,2
Massachusetts,Maryland,5
Clemson,Tulane,1
Massachusetts,Penn State,10
Maryland,Clemson,2
Massachusetts,Clemson,10
Tulane,Penn State,4
Alabama,Notre Dame,2
Carnegie Mellon,North Carolina-Charlotte,6
North Carolina State,North Carolina-Charlotte,6
Carnegie Mellon,Notre Dame,1
North Carolina State,Carnegie Mellon,4
Alabama,North Carolina-Charlotte,5
North Carolina State,Notre Dame,5
Alabama,Carnegie Mellon,4
North Carolina State,Alabama,4
Notre Dame,North Carolina-Charlotte,3
Ohio,Virginia,3
Auburn,Chicago,9
North Carolina-Wilmington,Chicago,6
Auburn,Virginia,6
North Carolina-Wilmington,Auburn,3
Ohio,Chicago,2
North Carolina-Wilmington,Virginia,2
Ohio,Auburn,2
North Carolina-Wilmington,Ohio,4
Virginia,Chicago,4
North Carolina,Massachusetts,7
North Carolina,North Carolina-Wilmington,5
Massachusetts,North Carolina State,1
North Carolina,Alabama,8
North Carolina-Wilmington,Maryland,1
Massachusetts,Ohio,12
North Carolina State,Ohio State,2
North Carolina State,North Carolina-Wilmington,4
Ohio State,Alabama,2
Alabama,Maryland,3
Ohio State,Ohio,7
Maryland,Ohio,3
Auburn,Virginia,6
Auburn,Appalachian State,10
Virginia,Dartmouth,6
Appalachian State,Notre Dame,1
Auburn,Clemson,9
Virginia,Tulane,6
Dartmouth,Carnegie Mellon,4
Dartmouth,Appalachian State,2
Notre Dame,Carnegie Mellon,4
Notre Dame,Clemson,6
Carnegie Mellon,Tulane,1
Tulane,Clemson,1
Tennessee,North Carolina-Charlotte,9
Tennessee,Penn State,6
North Carolina-Charlotte,Chicago,2
Penn State,Chicago,1
