Mississippi State,Miami,4
Georgia Southern,Columbus State,11
Mississippi State,Columbus State,13
Georgia Southern,Miami,9
Mississippi State,Georgia Southern,3
Miami,Columbus State,4
Troy,Florida Tech,4
Berry,Central Arkansas,15
Florida Tech,Central Arkansas,15
Berry,Troy,4
Florida Tech,Berry,6
Troy,Central Arkansas,15
Mississippi State,Georgia Southern,4
Mississippi State,Troy,1
Georgia Southern,Florida Tech,2
Mississippi State,Central Arkansas,15
Troy,Miami,9
Georgia Southern,Berry,1
Florida Tech,Columbus State,6
Berry,Miami,15
Miami,Central Arkansas,15
Berry,Columbus State,1
Florida Tech,Troy,1
Columbus State,Central Arkansas,15
