Iowa,Miami Ohio,4
Middle Tennessee State,Southern Indiana,3
Iowa,Ball State,8
Miami Ohio,Middle Tennessee State,2
Iowa,Middle Tennessee State,5
Ball State,Southern Indiana,10
Iowa,Southern Indiana,10
Miami Ohio,Ball State,3
Miami Ohio,Southern Indiana,5
Middle Tennessee State,Ball State,6
Vanderbilt,Arkansas State,7
Missouri,Tennessee Tech,9
Vanderbilt,Northern Illinois,10
Missouri,Arkansas State,6
Vanderbilt,Missouri,5
Tennessee Tech,Northern Illinois,9
Vanderbilt,Tennessee Tech,6
Arkansas State,Northern Illinois,9
Tennessee Tech,Arkansas State,1
Missouri,Northern Illinois,8
Iowa,Miami Ohio,12
Iowa,Middle Tennessee State,9
Miami Ohio,Vanderbilt,2
Iowa,Southern Indiana,11
Middle Tennessee State,Missouri,1
Miami Ohio,Tennessee Tech,4
Vanderbilt,Ball State,1
Southern Indiana,Arkansas State,1
Ball State,Northern Illinois,13
Vanderbilt,Middle Tennessee State,1
Missouri,Southern Indiana,15
Tennessee Tech,Ball State,5
Arkansas State,Northern Illinois,1
