Maryland B,Dartmouth B,3

Pennsylvania B,Siena,3

Maryland B,Siena,8

Dartmouth B,Pennsylvania B,11

Maryland B,Pennsylvania B,6

Dartmouth B,Siena,11

Connecticut B,Temple B,8

James Madison B,Georgetown B,2

James Madison B,Temple B,7

Connecticut B,Georgetown B,4

Georgetown B,Temple B,1

James Madison B,Connecticut B,3

William & Mary B,Edinboro,5

Messiah,Towson B,13

William & Mary B,Towson B,10

Messiah,Penn State B,5

Messiah,Edinboro,3

Penn State B,Towson B,13

Messiah,William & Mary B,12

Penn State B,Edinboro,5

Penn State B,William & Mary B,9

Edinboro,Towson B,9

Maryland B,James Madison B,7

Connecticut B,Dartmouth B,4

Georgetown B,Pennsylvania B,1

Siena,Temple B,3

Siena,Towson B,3

Pennsylvania B,Temple B,1

Siena,Temple B,3

Towson B,Pennsylvania B,3

Pennsylvania B,Siena,3

Temple B,Towson B,9

Connecticut B,Penn State B,6

Penn State B,Maryland B,4

Connecticut B,Dartmouth B,3

Penn State B,Georgetown B,11

Maryland B,Edinboro,5

Dartmouth B,James Madison B,6

Connecticut B,William & Mary B,9

Maryland B,Dartmouth B,4

Edinboro,William & Mary B,2

Edinboro,Georgetown B,6

William & Mary B,James Madison B,7

James Madison B,Georgetown B,9

