SUNY-Stony Brook,Syracuse,1
SUNY-Albany,Massachusetts-Lowell,7
SUNY-Stony Brook,Massachusetts-Lowell,6
SUNY-Albany,Syracuse,4
SUNY-Stony Brook,SUNY-Albany,1
Syracuse,Massachusetts-Lowell,8
Hofstra,SUNY-Albany B,10
Northeastern C,SUNY-Stony Brook B,9
Hofstra,SUNY-Stony Brook B,13
Northeastern C,SUNY-Albany B,1
Hofstra,Northeastern C,1
SUNY-Albany B,SUNY-Stony Brook B,9
SUNY-Stony Brook,Hofstra,5
SUNY-Albany,Northeastern C,4
Syracuse,SUNY-Albany B,11
Massachusetts-Lowell,SUNY-Stony Brook B,7
Syracuse,SUNY-Albany,2
Syracuse,SUNY-Stony Brook,8
SUNY-Albany,Hofstra,3
SUNY-Stony Brook,SUNY-Albany B,12
Syracuse,Northeastern C,7
SUNY-Albany,SUNY-Stony Brook B,9
Hofstra,Massachusetts-Lowell,1
Massachusetts-Lowell,Northeastern C,1
Northeastern C,SUNY-Albany B,8
Massachusetts-Lowell,SUNY-Stony Brook B,12
SUNY-Stony Brook,Hofstra,12
SUNY-Stony Brook B,SUNY-Albany B,3
