SUNY-Oneonta,Towson B,10

Maryland-Baltimore County B,St Mary's Maryland,3

SUNY-Oneonta,Maryland-Baltimore County B,13

Towson B,St Mary's Maryland,1

SUNY-Oneonta,St Mary's Maryland,12

Maryland-Baltimore County B,Towson B,1

American B,Lancaster Bible,3

Delaware B,SUNY Oneonta B,11

Lancaster Bible,SUNY Oneonta B,2

Delaware B,American B,5

Delaware B,Lancaster Bible,10

American B,SUNY Oneonta B,4

SUNY-Oneonta,Delaware B,9

SUNY-Oneonta,American B,14

Delaware B,Maryland-Baltimore County B,8

SUNY-Oneonta,SUNY Oneonta B,14

American B,Towson B,11

Maryland-Baltimore County B,Lancaster Bible,10

Delaware B,St Mary's Maryland,12

St Mary's Maryland,SUNY Oneonta B,2

SUNY Oneonta B,Towson B,5

St Mary's Maryland,Lancaster Bible,1

Towson B,Lancaster Bible,3

Maryland-Baltimore County B,American B,2

