Williams,Rensselaer Polytech,8
Rochester,Colgate,2
Williams,Colgate,7
Amherst Regional,Rochester,5
Rensselaer Polytech,Rochester,1
Amherst Regional,Colgate,1
Williams,Rochester,2
Amherst Regional,Rensselaer Polytech,3
Williams,Amherst Regional,1
Colgate,Rensselaer Polytech,2
SUNY-Buffalo,Siena,10
Maine,SUNY-Binghamton B,10
SUNY-Buffalo,SUNY-Binghamton B,12
Maine,Siena,9
Maine,SUNY-Buffalo,1
SUNY-Binghamton B,Siena,6
Ithaca,Emerson,5
Skidmore,SUNY-Buffalo B,11
Ithaca,SUNY-Buffalo B,11
Skidmore,Emerson,10
Emerson,SUNY-Buffalo B,2
Ithaca,Skidmore,3
Maine,Ithaca,5
Skidmore,SUNY-Buffalo,1
Williams,Amherst Regional,2
Williams,Colgate,5
Amherst Regional,Maine,9
Williams,Skidmore,7
Colgate,Rensselaer Polytech,1
Maine,Rochester,3
Amherst Regional,Ithaca,10
SUNY-Buffalo,Emerson,15
Emerson,Siena,3
SUNY-Buffalo,SUNY-Binghamton B,10
Siena,SUNY-Buffalo B,8
Rochester,Skidmore,15
Skidmore,Rensselaer Polytech,1
Rochester,Ithaca,2
Siena,SUNY-Binghamton B,15
Siena,SUNY-Binghamton B,1
Maine,Colgate,15
