North Carolina,Duke,13,7
Johns Hopkins,East Carolina,13,8
North Carolina,East Carolina,13,5
Johns Hopkins,Duke,9,11
North Carolina,Johns Hopkins,13,5
Duke,East Carolina,10,6
North Carolina State,Virginia,11,13
Maryland,Appalachian State,12,11
North Carolina State,Appalachian State,13,7
Maryland,Virginia,11,10
North Carolina State,Maryland,13,8
Virginia,Appalachian State,12,6
North Carolina-Wilmington,Liberty,13,5
William & Mary,James Madison,11,12
North Carolina-Wilmington,James Madison,13,4
William & Mary,Liberty,10,6
North Carolina-Wilmington,William & Mary,8,10
Liberty,James Madison,10,13
South Carolina,Georgetown,13,6
Virginia Tech,North Carolina B,13,8
South Carolina,North Carolina B,12,9
Virginia Tech,Georgetown,13,7
South Carolina,Virginia Tech,8,12
Georgetown,North Carolina B,12,7
North Carolina,North Carolina State,15,2
North Carolina,Virginia Tech,15,7
North Carolina-Wilmington,North Carolina State,8,15
North Carolina State,Maryland,14,9
Johns Hopkins,Maryland,8,13
Virginia Tech,Johns Hopkins,12,14
Maryland,North Carolina-Wilmington,13,12
William & Mary,Johns Hopkins,11,12
Maryland,South Carolina,15,13
William & Mary,Georgetown,12,10
Johns Hopkins,Virginia,15,8
Duke,Maryland,11,14
James Madison,South Carolina,6,15
William & Mary,South Carolina,6,11
Virginia,James Madison,13,4
Georgetown,Virginia,12,14
Duke,James Madison,11,13
Georgetown,Duke,1,0
North Carolina B,Appalachian State,13,11
East Carolina,North Carolina B,13,15
Liberty,Appalachian State,11,13
East Carolina,Liberty,9,13
