Mary Washington,Navy,14,15
Davidson,High Point,15,5
Mary Washington,High Point,12,6
Davidson,Navy,15,6
Navy,High Point,9,12
Mary Washington,Davidson,11,10
North Carolina-Asheville,Christopher Newport,13,11
Richmond,Elon,15,8
Richmond,Christopher Newport,15,6
North Carolina-Asheville,Elon,10,8
Richmond,North Carolina-Asheville,15,9
Elon,Christopher Newport,15,8
North Carolina-Asheville,Richmond,6,15
Mary Washington,North Carolina-Asheville,12,13
Davidson,Richmond,5,15
Mary Washington,Christopher Newport,15,7
North Carolina-Asheville,High Point,13,11
Davidson,Elon,12,10
Richmond,Navy,15,7
Christopher Newport,High Point,10,12
Elon,Navy,13,15
Mary Washington,Davidson,5,7
