Montana,Idaho,5
Utah State,Montana State,3
Brigham Young,Montana State,8
Montana,Utah State,4
Brigham Young,Idaho,7
Montana State,Montana,2
Brigham Young,Montana,7
Utah State,Idaho,7
Brigham Young,Utah State,4
Montana State,Idaho,3
Boise State,Brigham Young B,4
Gonzaga,Washington State,4
Utah,Gonzaga,7
Washington State,Boise State,3
Utah,Brigham Young B,7
Boise State,Gonzaga,4
Utah,Boise State,5
Brigham Young B,Washington State,4
Utah,Washington State,9
Brigham Young B,Gonzaga,1
Utah State,Montana,2
Montana,Boise State,11
Utah State,Utah,3
Utah,Montana State,5
Montana State,Boise State,7
Utah,Idaho,4
Montana State,Washington State,8
Idaho,Gonzaga,1
Boise State,Idaho,3
Gonzaga,Washington State,15
