Appalachian State,North Carolina-Charlotte,1
North Carolina,South Carolina,4
North Carolina,North Carolina-Charlotte,7
South Carolina,East Carolina,7
East Carolina,North Carolina-Charlotte,5
North Carolina,Appalachian State,9
South Carolina,North Carolina-Charlotte,7
East Carolina,Appalachian State,1
Appalachian State,South Carolina,3
North Carolina,East Carolina,6
North Carolina State,Duke,4
North Carolina-Wilmington,Charleston,11
Clemson,Wake Forest,6
North Carolina State,Charleston,9
North Carolina-Wilmington,Clemson,5
Duke,Wake Forest,10
North Carolina-Wilmington,North Carolina State,1
Duke,Clemson,9
Charleston,Wake Forest,9
North Carolina State,Clemson,8
North Carolina-Wilmington,Wake Forest,9
Duke,Charleston,7
North Carolina State,Wake Forest,10
North Carolina-Wilmington,Duke,4
Clemson,Charleston,1
Appalachian State,Clemson,4
Duke,East Carolina,5
North Carolina-Charlotte,Wake Forest,10
Appalachian State,Charleston,7
Duke,North Carolina-Charlotte,3
East Carolina,Wake Forest,8
Appalachian State,Wake Forest,7
Clemson,North Carolina-Charlotte,2
East Carolina,Charleston,8
Duke,Appalachian State,2
East Carolina,Clemson,4
North Carolina-Charlotte,Charleston,3
