Washington B,Oregon State B,10
Oregon State,Western Washington,1
Oregon,Oregon State,10
Washington B,Western Washington,2
Oregon,Oregon State B,11
Washington B,Oregon State,1
Oregon,Washington B,12
Western Washington,Oregon State B,12
Oregon,Western Washington,7
Oregon State,Oregon State B,7
Western Washington B,Washington C,2
British Columbia,Victoria,7
Washington,British Columbia,7
Victoria,Western Washington B,9
Washington,Washington C,12
British Columbia,Western Washington B,7
Washington,Western Washington B,12
Victoria,Washington C,12
Washington,Victoria,4
British Columbia,Washington C,12
Washington,Oregon,3
Oregon,Victoria,3
Victoria,Oregon State,3
Victoria,Washington B,5
Oregon State,British Columbia,7
British Columbia,Western Washington,1
Western Washington,Washington B,6
British Columbia,Western Washington B,8
Western Washington,Washington C,12
Western Washington B,Oregon State B,8
Oregon State B,Washington C,3
