Johns Hopkins,Georgetown,3
Maryland-Baltimore County,Salisbury,6
Johns Hopkins,Salisbury,9
Georgetown,American,5
Johns Hopkins,Maryland-Baltimore County,2
Salisbury,American,3
Georgetown,Salisbury,10
Maryland-Baltimore County,American,7
Georgetown,Maryland-Baltimore County,5
Johns Hopkins,American,8
Maryland,George Washington,12
Towson,Delaware,6
Maryland,Towson,12
Delaware,George Washington,9
Maryland,Delaware,10
Towson,George Washington,3
Maryland,Johns Hopkins,5
Johns Hopkins,Towson,9
Maryland,Georgetown,7
Johns Hopkins,Georgetown,1
Georgetown,Towson,6
Towson,Maryland-Baltimore County,1
Georgetown,Delaware,6
Maryland-Baltimore County,George Washington,4
Delaware,Salisbury,10
Delaware,Maryland-Baltimore County,1
George Washington,Salisbury,5
