Temple,West Chester,1
Drexel,Millersville,8
Temple,Millersville,5
West Chester,Drexel,1
Temple,Drexel,6
West Chester,Millersville,3
Lehigh,Villanova,1
Pennsylvania,Saint Joseph's,12
Villanova,Saint Joseph's,11
Pennsylvania,Lehigh,1
Villanova,Pennsylvania,2
Lehigh,Saint Joseph's,8
Temple,Villanova,2
Temple,Lehigh,10
Villanova,Pennsylvania,1
Lehigh,Drexel,6
Pennsylvania,West Chester,7
Villanova,Pennsylvania,15
Pennsylvania,Lehigh,3
Drexel,Lehigh,7
Drexel,West Chester,8
Drexel,Saint Joseph's,11
West Chester,Millersville,15
West Chester,Millersville,15
Millersville,Saint Joseph's,15
