Central Florida,Florida Atlantic,10
South Florida,Miami,6
Central Florida,Miami,8
South Florida,Florida Atlantic,3
Central Florida,South Florida,7
Florida Atlantic,Miami,4
Florida State,North Florida,15
Florida,Florida Gulf Coast,10
Florida State,Florida Gulf Coast,10
Florida,North Florida,15
Florida,Florida State,5
Florida Gulf Coast,North Florida,15
Central Florida,Florida,1
Florida State,Florida,2
Florida State,South Florida,10
South Florida,Florida Atlantic,3
Florida Atlantic,Miami,3
Florida Atlantic,Florida Gulf Coast,10
Miami,North Florida,15
