Alabama-Huntsville,Southern Mississippi,4
Alabama-Birmingham,Troy,4
Tulane,Mississippi State,7
Auburn,Mississippi State,7
Alabama-Huntsville,Troy,8
Tulane,Southern Mississippi,9
Auburn,Alabama-Huntsville,6
Alabama-Birmingham,Southern Mississippi,7
Tulane,Troy,10
Auburn,Alabama-Birmingham,7
Mississippi State,Troy,8
Alabama-Birmingham,Mississippi State,2
Alabama-Huntsville,Tulane,1
Auburn,Southern Mississippi,9
Troy,Southern Mississippi,2
Auburn,Tulane,2
Alabama-Huntsville,Alabama-Birmingham,4
Mississippi State,Southern Mississippi,4
Tulane,Alabama-Birmingham,5
Alabama-Huntsville,Mississippi State,5
Auburn,Troy,6
LSU,Alabama,3
Vanderbilt,Jacksonville State,6
Middle Tennessee State,Mississippi,4
Alabama,Vanderbilt,1
LSU,Mississippi,6
Middle Tennessee State,Jacksonville State,1
Alabama,Mississippi,9
LSU,Jacksonville State,5
Vanderbilt,Middle Tennessee State,1
Alabama,Jacksonville State,8
LSU,Middle Tennessee State,11
Vanderbilt,Mississippi,6
Alabama,Middle Tennessee State,11
LSU,Vanderbilt,7
Jacksonville State,Mississippi,6
Mississippi,Southern Mississippi,2
Troy,Mississippi,5
Auburn,LSU,2
Alabama,LSU,1
Alabama,Alabama-Huntsville,4
Alabama-Huntsville,Tulane,2
Tulane,Vanderbilt,8
Alabama-Birmingham,Vanderbilt,5
Alabama-Birmingham,Middle Tennessee State,8
Jacksonville State,Middle Tennessee State,4
Jacksonville State,Mississippi State,4
