Connecticut,SUNY-Albany,9
Yale,Sacred Heart,9
SUNY-New Paltz,Southern Connecticut State,3
Connecticut,Yale,2
SUNY-Albany,Southern Connecticut State,5
SUNY-New Paltz,Sacred Heart,10
Connecticut,Southern Connecticut State,7
Yale,SUNY-New Paltz,3
SUNY-Albany,Sacred Heart,11
Connecticut,SUNY-New Paltz,11
SUNY-Albany,Yale,2
Southern Connecticut State,Sacred Heart,1
Connecticut,Sacred Heart,11
Yale,Southern Connecticut State,11
SUNY-Albany,SUNY-New Paltz,5
Connecticut,Yale,5
Connecticut,SUNY-New Paltz,5
Yale,SUNY-Albany,3
SUNY-New Paltz,Southern Connecticut State,2
Yale,Sacred Heart,12
SUNY-Albany,SUNY-New Paltz,5
