Illinois,Loyola-Chicago,11
Illinois State,Illinois-Chicago  ,6
Illinois,Illinois-Chicago  ,12
Illinois State,Loyola-Chicago,5
Illinois,Illinois State,6
Loyola-Chicago,Illinois-Chicago  ,8
Northwestern,DePaul,11
Chicago,Northern Illinois,5
Northwestern,Northern Illinois,12
Chicago,DePaul,10
Chicago,Northwestern,2
DePaul,Northern Illinois,3
Northwestern,Illinois,3
Illinois State,Chicago,3
Illinois,Northern Illinois,10
Northwestern,Loyola-Chicago,10
Illinois State,DePaul,3
Chicago,Illinois-Chicago  ,8
Chicago,Loyola-Chicago,4
Illinois,DePaul,7
Loyola-Chicago,Northern Illinois,1
DePaul,Illinois-Chicago  ,2
Loyola-Chicago,DePaul,4
