Michigan Tech,Milwaukee School of Engineering,13,3
Wisconsin-Platteville,Carthage College,13,4
Wisconsin-River Falls,Wisconsin-Green Bay,1,13
Michigan Tech,Wisconsin-Platteville,13,4
Milwaukee School of Engineering,Wisconsin-River Falls,13,0
Carthage College,Wisconsin-Green Bay,3,13
Michigan Tech,Wisconsin-River Falls,13,1
Wisconsin-Platteville,Wisconsin-Green Bay,13,7
Milwaukee School of Engineering,Carthage College,13,4
Michigan Tech,Wisconsin-Green Bay,13,5
Wisconsin-Platteville,Milwaukee School of Engineering,12,8
Wisconsin-River Falls,Carthage College,6,13
Michigan Tech,Carthage College,13,2
Wisconsin-Platteville,Wisconsin-River Falls,13,0
Milwaukee School of Engineering,Wisconsin-Green Bay,8,9
Michigan Tech,Wisconsin-Platteville,13,5
Milwaukee School of Engineering,Wisconsin-Platteville,4,13
Wisconsin-Green Bay,Milwaukee School of Engineering,7,13
Carthage College,Wisconsin-River Falls,13,12
