SUNY-Geneseo,SUNY-Fredonia,11,7
Marist,SUNY-Fredonia,15,2
Marist,SUNY-Geneseo,15,6
SUNY-Oneonta,Stevens Tech,9,11
Hamilton,Stevens Tech,13,8
Hamilton,SUNY-Oneonta,12,6
Colgate,Rensselaer Polytech,11,7
Wesleyan,Rensselaer Polytech,15,5
Wesleyan,Colgate,6,9
Ithaca,Rochester,12,10
Army,Rochester,12,4
Army,Ithaca,12,6
Marist,Hamilton,14,15
Marist,Wesleyan,16,15
Colgate,Hamilton,12,15
Marist,Stevens Tech,15,10
Wesleyan,Army,15,12
Colgate,Ithaca,13,8
Rochester,Hamilton,6,14
Stevens Tech,Rensselaer Polytech,10,9
Wesleyan,SUNY-Oneonta,15,1
SUNY-Fredonia,Ithaca,4,13
Rochester,SUNY-Geneseo,11,8
Stevens Tech,Rochester,13,9
Stevens Tech,Army,1,0
Ithaca,Rochester,9,10
Rensselaer Polytech,SUNY-Geneseo,9,6
Rensselaer Polytech,SUNY-Oneonta,9,8
SUNY-Fredonia,SUNY-Geneseo,7,11
SUNY-Oneonta,SUNY-Fredonia,3,5
