Michigan Tech,St Olaf,3
Winona State,St John's,1
St Olaf,St. Thomas,3
Michigan Tech,St John's,6
Michigan Tech,Winona State,6
St. Thomas,St John's,3
Winona State,St. Thomas,2
St Olaf,St John's,11
Michigan Tech,St. Thomas,6
Winona State,St Olaf,2
Macalester,Wisconsin-Platteville,5
Carleton College-GoP,Luther,7
Carleton College-GoP,Wisconsin-Platteville,4
Luther,Carleton Hot Karls,9
Wisconsin-Platteville,Carleton Hot Karls,5
Carleton College-GoP,Macalester,6
Macalester,Carleton Hot Karls,7
Luther,Wisconsin-Platteville,8
Luther,Macalester,3
Carleton College-GoP,Carleton Hot Karls,12
Carleton College-GoP,Michigan Tech,6
Michigan Tech,Luther,4
Carleton College-GoP,Winona State,8
Luther,Macalester,8
Luther,St Olaf,6
Macalester,Winona State,2
St Olaf,Wisconsin-Platteville,2
Macalester,St. Thomas,4
Wisconsin-Platteville,St. Thomas,1
St Olaf,Winona State,1
Carleton Hot Karls,St John's,1
