Richmond,Navy,13,8
Catholic,Roanoke,13,6
Richmond,Roanoke,13,2
Catholic,Navy,7,13
Richmond,Catholic,13,5
Navy,Roanoke,13,4
Mary Washington,Shenandoah,13,8
Christopher Newport,St Mary's Maryland,13,2
Mary Washington,St Mary's Maryland,13,4
Christopher Newport,Shenandoah,13,5
Mary Washington,Christopher Newport,13,1
Shenandoah,St Mary's Maryland,11,7
Richmond,Mary Washington,7,15
Navy,Richmond,7,15
Navy,Christopher Newport,15,3
Christopher Newport,Catholic,13,7
Catholic,Roanoke,11,7
Catholic,St Mary's Maryland,15,2
Roanoke,Shenandoah,11,9
