Washington,British Columbia,2
Victoria,Utah,1
Montana,Idaho,9
Washington,Victoria,5
Montana,British Columbia,2
Utah,Idaho,11
Washington,Montana,11
Victoria,Idaho,8
Utah,British Columbia,1
Washington,Idaho,7
Victoria,British Columbia,5
Utah,Montana,8
Victoria,Montana,4
British Columbia,Idaho,9
Washington,Utah,4
Oregon,Oregon State,7
Whitman,Montana State,1
Utah State,Boise State,7
Oregon,Whitman,7
Oregon State,Utah State,2
Montana State,Boise State,10
Oregon,Utah State,4
Whitman,Boise State,10
Montana State,Oregon State,1
Oregon,Boise State,12
Oregon State,Whitman,5
Montana State,Utah State,7
Oregon,Montana State,4
Whitman,Utah State,4
Oregon State,Boise State,9
Oregon,Washington,1
Washington,Oregon State,4
Oregon,Victoria,10
Victoria,Utah,7
Utah,Oregon State,3
Victoria,Montana,6
Utah,Whitman,1
Montana,Montana State,2
British Columbia,Utah State,7
British Columbia,Boise State,15
Utah State,Idaho,3
Idaho,Utah State,15
Idaho,Boise State,1
