Minnesota State-Mankato,North Dakota State,3
Minnesota,Minnesota-Duluth,10
Carleton College-CUT,Minnesota-Duluth,8
Minnesota,Minnesota State-Mankato,11
Carleton College-CUT,North Dakota State,13
Minnesota-Duluth,Minnesota State-Mankato,2
Carleton College-CUT,Minnesota State-Mankato,9
Minnesota,North Dakota State,12
Carleton College-CUT,Minnesota,2
Minnesota-Duluth,North Dakota State,9
Minnesota,Minnesota-Duluth,10
Minnesota,North Dakota State,12
Minnesota-Duluth,Minnesota State-Mankato,4
Minnesota State-Mankato,North Dakota State,4
