St Olaf,St John's,4
Macalester,Carleton Hot Karls,7
St Olaf,Carleton Hot Karls,5
Macalester,St John's,1
St Olaf,Macalester,5
St John's,Carleton Hot Karls,1
Carleton College-GoP,Bethel,13
St. Thomas,Winona State,3
Carleton College-GoP,St. Thomas,11
Winona State,Bethel,1
Carleton College-GoP,Winona State,11
St. Thomas,Bethel,5
Carleton College-GoP,St Olaf,11
St Olaf,St. Thomas,3
Carleton College-GoP,Winona State,12
St. Thomas,St John's,7
Winona State,Macalester,3
Macalester,Winona State,1
Winona State,St John's,9
Macalester,St. Thomas,3
St John's,Bethel,2
Macalester,Carleton Hot Karls,5
St John's,St. Thomas,2
Carleton Hot Karls,Bethel,5
