Ohio State,Cincinnati,7
Toledo,Kent State,2
Ohio State,Toledo,10
Miami Ohio,Kent State,5
Cincinnati,Kent State,10
Miami Ohio,Toledo,5
Ohio State,Miami Ohio,10
Cincinnati,Toledo,9
Ohio State,Kent State,12
Cincinnati,Miami Ohio,8
Ohio,Dayton,4
Case Western Reserve,Wright State,8
Akron,Cleveland State,7
Ohio,Wright State,5
Case Western Reserve,Akron,8
Dayton,Cleveland State,7
Ohio,Cleveland State,10
Case Western Reserve,Dayton,3
Wright State,Akron,4
Ohio,Akron,8
Case Western Reserve,Cleveland State,9
Dayton,Wright State,6
Ohio,Case Western Reserve,3
Dayton,Akron,8
Wright State,Cleveland State,5
Dayton,Miami Ohio,3
Miami Ohio,Toledo,2
Toledo,Wright State,1
Toledo,Akron,1
Wright State,Kent State,1
