Franciscan,Oberlin,12,13
John Carroll,Ohio Wesleyan,11,10
Franciscan,John Carroll,13,8
Kenyon,Ohio Wesleyan,13,8
Oberlin,Ohio Wesleyan,13,3
Kenyon,John Carroll,13,6
Franciscan,Kenyon,13,5
Oberlin,John Carroll,13,1
Franciscan,Ohio Wesleyan,13,2
Oberlin,Kenyon,13,3
Cedarville,Xavier,11,8
Denison,Wooster,8,15
Cedarville,Denison,15,6
Ohio Northern,Wooster,12,14
Xavier,Wooster,11,5
Ohio Northern,Denison,12,8
Cedarville,Ohio Northern,15,4
Xavier,Denison,12,10
Cedarville,Wooster,15,11
Xavier,Ohio Northern,11,9
Kenyon,Wooster,10,12
Denison,Kenyon,13,9
Denison,Ohio Wesleyan,1,0
John Carroll,Denison,0,1
Ohio Wesleyan,Ohio Northern,1,0
