Ohio State,Pittsburgh,1
Pittsburgh,Carnegie Mellon,9
Ohio State,Ohio,14
Pittsburgh,Villanova,12
Carnegie Mellon,Drexel,8
Ohio,Temple,1
Ohio State,Cincinnati,7
Pittsburgh,Miami Ohio,13
Villanova,Case Western Reserve,1
Carnegie Mellon,Dayton,6
Drexel,Penn State,1
Ohio,Lehigh,5
Temple,Pittsburgh B,7
Cincinnati,Pennsylvania,1
Ohio State,West Chester,10
Pittsburgh,Carnegie Mellon,6
Carnegie Mellon,Ohio,7
Carnegie Mellon,Penn State,1
Ohio,Villanova,15
Penn State,Case Western Reserve,2
Villanova,Lehigh,4
Case Western Reserve,Cincinnati,6
Penn State,Temple,2
Lehigh,Drexel,7
Villanova,West Chester,15
Case Western Reserve,Miami Ohio,15
Penn State,Dayton,8
Lehigh,Pittsburgh B,5
West Chester,Pennsylvania,6
Cincinnati,Temple,6
Drexel,West Chester,5
Pennsylvania,Dayton,15
Dayton,Miami Ohio,15
Pennsylvania,Pittsburgh B,3
Pittsburgh B,Miami Ohio,15
