Arkansas,Missouri,1
Oklahoma,Washington University,3
Oklahoma,Missouri,5
Washington University,Missouri State,1
Missouri,Missouri State,1
Oklahoma,Arkansas,2
Washington University,Missouri,1
Arkansas,Missouri State,5
Washington University,Arkansas,4
Oklahoma,Missouri State,8
Oklahoma State,Saint Louis,7
Kansas,Central Arkansas,6
Kansas State,Oklahoma B,9
Oklahoma State,Central Arkansas,7
Kansas,Kansas State,5
Saint Louis,Oklahoma B,8
Oklahoma State,Kansas,5
Saint Louis,Kansas State,8
Oklahoma B,Central Arkansas,1
Oklahoma State,Kansas State,5
Kansas,Oklahoma B,6
Saint Louis,Central Arkansas,10
Oklahoma State,Oklahoma B,11
Kansas,Saint Louis,2
Kansas State,Central Arkansas,8
Kansas State,Missouri,1
