Colorado,Colorado Mesa,9
Denver,Colorado State B,2
Colorado,Colorado State B,13
Denver,Colorado Mesa,5
Colorado,Denver,9
Colorado Mesa,Colorado State B,1
Colorado B,Colorado-Colorado Springs,8
Colorado-Denver,Colorado-Colorado Springs,5
Colorado State,Colorado B,5
Colorado B,Colorado-Denver,11
Colorado State,Colorado-Colorado Springs,11
Colorado State,Colorado-Denver,10
Colorado,Colorado State,3
Colorado,Colorado B,7
Colorado State,Denver,8
Colorado B,Colorado Mesa,9
Denver,Colorado-Denver,2
Colorado B,Denver,1
Denver,Colorado-Colorado Springs,4
Colorado B,Colorado State B,9
Colorado-Colorado Springs,Colorado Mesa,4
Colorado State B,Colorado-Denver,1
Colorado Mesa,Colorado State B,1
Colorado-Colorado Springs,Colorado State B,4
