Air Force,Colorado School of Mines - B,11
Colorado College,Air Force B,10
Air Force,Colorado College,7
Colorado School of Mines,Air Force B,12
Colorado School of Mines - B,Air Force B,7
Colorado School of Mines,Colorado College,2
Air Force,Air Force B,13
Colorado School of Mines,Colorado School of Mines - B,8
Air Force,Colorado School of Mines,6
Colorado College,Colorado School of Mines - B,12
Air Force,Colorado School of Mines,8
Colorado School of Mines,Colorado College,2
Colorado College,Air Force B,11
Air Force B,Colorado School of Mines - B,1
