Texas,Texas State  B,9
Texas State,Texas A,8
Texas-Rio Grande Valley,Sam Houston State,2
Texas State,Texas,1
Sam Houston State,Texas State  B,1
Texas-Rio Grande Valley,Texas A,2
Texas,Sam Houston State,10
Texas State,Texas-Rio Grande Valley,4
Texas State  B,Texas A,1
Texas,Texas-Rio Grande Valley,10
Texas State,Texas State  B,9
Texas A,Sam Houston State,7
Texas,Texas A,8
Texas-Rio Grande Valley,Texas State  B,5
Texas State,Sam Houston State,8
Texas A,Texas B,11
Lamar,Texas-San Antonio,2
Houston,Texas-El Paso,1
Texas A,Texas-San Antonio,10
Texas B,Houston,2
Lamar,Texas-El Paso,5
Texas A,Houston,11
Texas-San Antonio,Texas-El Paso,4
Lamar,Texas B,6
Texas A,Texas-El Paso,9
Texas-San Antonio,Texas B,2
Lamar,Houston,11
Texas B,Texas-El Paso,4
Texas-San Antonio,Houston,3
Texas A,Lamar,9
Texas State  B,Texas-El Paso,5
Sam Houston State,Houston,5
Texas State  B,Sam Houston State,8
Houston,Texas-El Paso,7
Houston,Sam Houston State,2
Texas State,Lamar,8
Texas,Texas A,3
Texas,Texas State,3
Texas-Rio Grande Valley,Texas B,1
Texas-San Antonio,Texas A,2
Lamar,Texas-Rio Grande Valley,10
Texas A,Texas-San Antonio,2
Texas A,Lamar,11
Texas-San Antonio,Texas-Rio Grande Valley,2
Texas B,Texas A,1
