Central Florida,Georgia Tech,3
Kennesaw State,Emory,3
Central Florida,Emory,4
Kennesaw State,Georgia Tech,8
Central Florida,Kennesaw State,2
Emory,Georgia Tech,1
Georgia,Tulane,7
Tennessee,Tennessee-Chattanooga,3
Georgia,Tennessee-Chattanooga,8
Tennessee,Tulane,1
Georgia,Tennessee,11
Tulane,Tennessee-Chattanooga,2
Auburn,Alabama-Huntsville,2
Florida State,South Florida,7
Auburn,South Florida,5
Florida State,Alabama-Huntsville,7
Auburn,Florida State,5
Alabama-Huntsville,South Florida,9
Alabama,Florida,8
LSU,Alabama-Birmingham,11
Alabama,Alabama-Birmingham,9
Florida,LSU,1
LSU,Alabama,1
Florida,Alabama-Birmingham,6
Georgia,Central Florida,3
Central Florida,Alabama,1
Georgia,LSU,8
Central Florida,Alabama-Huntsville,5
Alabama,Florida State,1
LSU,Auburn,1
Georgia,Florida,4
Alabama-Huntsville,Tennessee,1
Florida State,Tulane,5
LSU,Emory,1
Florida,Kennesaw State,5
