Georgia,Tennessee,8
Georgia,Tennessee-Chattanooga,7
Tennessee-Chattanooga,Georgia State,2
Georgia,Georgia State,9
Tennessee,Tennessee-Chattanooga,7
Georgia State,Tennessee,3
Georgia Southern,Tennessee Tech,7
Kennesaw State,Emory,3
Georgia Tech,Tennessee Tech,8
Kennesaw State,Georgia Southern,3
Georgia Southern,Georgia Tech,1
Emory,Tennessee Tech,10
Georgia Tech,Kennesaw State,1
Emory,Georgia Southern,12
Kennesaw State,Tennessee Tech,15
Georgia Tech,Emory,1
Georgia,Kennesaw State,8
Tennessee,Georgia Tech,6
Georgia,Tennessee,13
Kennesaw State,Georgia Tech,1
Tennessee,Kennesaw State,12
Emory,Georgia State,13
Tennessee-Chattanooga,Tennessee Tech,15
Tennessee-Chattanooga,Georgia Southern,3
Tennessee-Chattanooga,Georgia State,1
