Cal Poly-SLO,California-Santa Cruz,4
California-Davis,Las Positas,1
Cal Poly-SLO,Las Positas,9
California-Santa Cruz,California-Davis,7
Cal Poly-SLO,California-Davis,9
Las Positas,California-Santa Cruz,1
Stanford,Southern California,4
Arizona,Humboldt State,4
Southern California,Humboldt State,4
Stanford,Arizona,2
Southern California,Arizona,8
Stanford,Humboldt State,7
California,New Mexico,1
California-Santa Barbara,Chico State,3
California,Chico State,6
California-Santa Barbara,New Mexico,6
California,California-Santa Barbara,7
Chico State,New Mexico,1
California-San Diego,Northern Arizona,8
UCLA,Santa Clara,9
California-San Diego,Santa Clara,9
UCLA,Northern Arizona,3
UCLA,California-San Diego,3
Santa Clara,Northern Arizona,3
Cal Poly-SLO,California,7
Cal Poly-SLO,UCLA,3
California,Stanford,4
California,Southern California,1
Southern California,Stanford,2
Southern California,UCLA,3
Stanford,California-San Diego,4
Southern California,California-Santa Barbara,7
California-San Diego,Arizona,9
California-Santa Barbara,Santa Clara,6
Southern California,Las Positas,8
Arizona,California-Santa Cruz,1
California-San Diego,Chico State,4
California-Santa Barbara,Arizona,8
Santa Clara,Chico State,15
Santa Clara,Las Positas,15
Chico State,California-Santa Cruz,4
California-Santa Cruz,Las Positas,15
Northern Arizona,California-Davis,1
New Mexico,Humboldt State,6
California-Davis,Humboldt State,7
