Messiah,Grove City,6
Bucknell,Allegheny,7
Messiah,Bucknell,8
Grove City,Allegheny,8
Messiah,Allegheny,12
Grove City,Bucknell,2
Susquehanna,California-Pennsylvania,5
Shippensburg,Susquehanna,4
Dickinson,California-Pennsylvania,2
Shippensburg,California-Pennsylvania,11
Dickinson,Susquehanna,5
Shippensburg,Dickinson,6
Bucknell,Dickinson,2
Grove City,Susquehanna,1
Messiah,Bucknell,8
Shippensburg,Grove City,2
Messiah,Shippensburg,5
Dickinson,California-Pennsylvania,1
Susquehanna,Allegheny,10
Grove City,Dickinson,11
Susquehanna,Bucknell,4
Grove City,Susquehanna,8
Dickinson,Bucknell,1
Allegheny,California-Pennsylvania,1
