Iowa State,Nebraska,8
Iowa,Creighton,11
Northern Iowa,Nebraska-Omaha,4
Iowa State,Iowa,7
Nebraska,Northern Iowa,3
Nebraska-Omaha,Creighton,6
Iowa State,Northern Iowa,12
Iowa,Nebraska-Omaha,10
Nebraska,Creighton,11
Iowa State,Nebraska-Omaha,7
Iowa,Nebraska,7
Northern Iowa,Creighton,10
Iowa State,Creighton,13
Iowa,Northern Iowa,8
Nebraska,Nebraska-Omaha,5
Iowa State,Iowa,3
Iowa State,Northern Iowa,11
Iowa,Nebraska,9
Northern Iowa,Nebraska-Omaha,5
Nebraska,Creighton,8
Northern Iowa,Nebraska,3
Nebraska-Omaha,Creighton,7
