Marist,New Haven,9
Rensselaer Polytech,Union,6
Marist,Rensselaer Polytech,6
Skidmore,Union,5
New Haven,Union,8
Rensselaer Polytech,Skidmore,5
Marist,Union,6
Skidmore,New Haven,7
Marist,Skidmore,4
New Haven,Rensselaer Polytech,1
Army,Vassar,6
Hartford,Saint Rose,4
Army,Hartford,1
Wesleyan,Saint Rose,10
Vassar,Saint Rose,8
Wesleyan,Hartford,6
Army,Saint Rose,8
Wesleyan,Vassar,10
Wesleyan,Army,2
Hartford,Vassar,3
Marist,Wesleyan,3
Wesleyan,Army,1
Army,Rensselaer Polytech,4
Rensselaer Polytech,Skidmore,6
Skidmore,New Haven,2
Skidmore,Vassar,2
Hartford,New Haven,5
