Slippery Rock,Edinboro,7
Carnegie Mellon,Indiana Pennsylvania,12
Penn State,West Virginia,11
Pittsburgh,West Virginia,14
Carnegie Mellon,Slippery Rock,11
Penn State,Indiana Pennsylvania,12
Pittsburgh,Carnegie Mellon,4
Edinboro,Indiana Pennsylvania,11
Penn State,Slippery Rock,6
Pittsburgh,Edinboro,15
Penn State,Carnegie Mellon,1
West Virginia,Slippery Rock,4
Pittsburgh,Indiana Pennsylvania,13
Edinboro,West Virginia,8
Slippery Rock,Indiana Pennsylvania,8
Pittsburgh,Penn State,3
Carnegie Mellon,Edinboro,11
West Virginia,Indiana Pennsylvania,6
Pittsburgh,Slippery Rock,14
Carnegie Mellon,West Virginia,11
Penn State,Edinboro,12
Pittsburgh,Penn State,9
Carnegie Mellon,Edinboro,10
Carnegie Mellon,West Virginia,7
Edinboro,Slippery Rock,4
