source,target
D-I College Championships,Georgia
D-I College Championships,Minnesota
D-I College Championships,Ohio State
D-I College Championships,California
D-I College Championships,North Carolina
D-I College Championships,Brown
D-I College Championships,Iowa State
D-I College Championships,Michigan
D-I College Championships,Texas
D-I College Championships,Oregon
D-I College Championships,Tufts
D-I College Championships,Wisconsin
D-I College Championships,Victoria
D-I College Championships,Pittsburgh
D-I College Championships,Colorado
D-I College Championships,Northeastern
D-I College Championships,Washington
D-I College Championships,Rutgers
D-I College Championships,Cal Poly
Georgia,Sanctioned 2019\Southeast D-I College Men's Regionals
Georgia,Sanctioned 2019\Southeast Dev College Men's CC
Georgia,Sanctioned 2019\Southern Appalachian D-I College Men's CC
Georgia,Non-Sanctioned 2019\Chucktown Throwdown XVI
Georgia,Non-Sanctioned 2019\Classic City Invite 2019
Georgia,Non-Sanctioned 2019\College Southerns XVIII
Georgia,Non-Sanctioned 2019\Easterns 2019 (Men)
Georgia,Non-Sanctioned 2019\Florida Warm Up 2019
Minnesota,Sanctioned 2019\North Central Dev College Men's CC
Minnesota,Sanctioned 2019\Northwoods D-I College Men's CC
Minnesota,Non-Sanctioned 2019\Easterns 2019 (Men)
Minnesota,Non-Sanctioned 2019\Florida Warm Up 2019
Minnesota,Non-Sanctioned 2019\Last Call 10
Minnesota,Non-Sanctioned 2019\Old Capitol Open 2019
Minnesota,Non-Sanctioned 2019\Stanford Invite 2019
Minnesota,Non-Sanctioned 2019\Tally Classic XIV
Minnesota,Non-Sanctioned 2019\Ugly Dome I 2019
Minnesota,Non-Sanctioned 2019\Ugly Dome II 2019
Ohio State,Sanctioned 2019\Ohio D-I College Men's CC
Ohio State,Sanctioned 2019\Ohio Valley D-I College Men's Regionals
Ohio State,Sanctioned 2019\Ohio Valley Dev College Men's CC
Ohio State,Non-Sanctioned 2019\CWRUL Memorial 2019
Ohio State,Non-Sanctioned 2019\Queen City Tune Up 2019 (Men)
Ohio State,Non-Sanctioned 2019\Stanford Invite 2019
California,Sanctioned 2019\NorCal D-I College Men's CC
California,Sanctioned 2019\SoCal D-I College Men's CC
California,Sanctioned 2019\Southwest D-I College Men's Regionals
California,Sanctioned 2019\Southwest Dev College Men's CC
California,Sanctioned 2019\West Penn D-III College Men's CC
California,Non-Sanctioned 2019\2019 SoCal Mixer
California,Non-Sanctioned 2019\College Southerns XVIII
California,Non-Sanctioned 2019\Easterns 2019 (Men)
California,Non-Sanctioned 2019\Presidents' Day Invite 2019
California,Non-Sanctioned 2019\Santa Barbara Invite 2019
California,Non-Sanctioned 2019\Stanford Invite 2019
California,Non-Sanctioned 2019\Stanford Open 2019
California,Non-Sanctioned 2019\Trouble in Vegas 2019
North Carolina,Sanctioned 2019\Atlantic Coast D-I College Men's Regionals
North Carolina,Sanctioned 2019\Atlantic Coast D-III College Men's Regionals
North Carolina,Sanctioned 2019\Carolina D-I College Men's CC
North Carolina,Sanctioned 2019\Carolina D-III College Men's CC
North Carolina,Sanctioned 2019\Southern Atlantic Coast Dev
North Carolina,Non-Sanctioned 2019\Atlantic Coast Open 2019
North Carolina,Non-Sanctioned 2019\Carolina Kickoff 2019
North Carolina,Non-Sanctioned 2019\Chucktown Throwdown XVI
North Carolina,Non-Sanctioned 2019\Classic City Invite 2019
North Carolina,Non-Sanctioned 2019\College Southerns XVIII
North Carolina,Non-Sanctioned 2019\Easterns 2019 (Men)
North Carolina,Non-Sanctioned 2019\FCS D-III Tune Up 2019
