id,category
Sanctioned Games\Atlantic Coast D-I College Men's Regionals,tournament
Johns Hopkins,team
East Carolina,team
North Carolina,team
Duke,team
North Carolina State,team
Virginia,team
Maryland,team
Appalachian State,team
North Carolina-Wilmington,team
Liberty,team
William & Mary,team
James Madison,team
South Carolina,team
Georgetown,team
Virginia Tech,team
Sanctioned Games\Atlantic Coast D-III College Men's Regionals,tournament
Davidson,team
High Point,team
Mary Washington,team
Navy,team
North Carolina-Asheville,team
Christopher Newport,team
Richmond,team
Elon,team
Sanctioned Games\Atlantic Coast Dev College Men's Regionals,tournament
Virginia Tech,team
American,team
Delaware,team
South Carolina,team
Maryland,team
George Washington,team
Virginia,team
James Madison,team
Sanctioned Games\Big Sky D-I College Men's CC,tournament
Utah State,team
Montana State,team
Brigham Young,team
Montana,team
Idaho,team
Boise State,team
Washington State,team
Gonzaga,team
Utah,team
Sanctioned Games\Carolina D-I College Men's CC,tournament
North Carolina,team
South Carolina,team
North Carolina-Charlotte,team
East Carolina,team
Appalachian State,team
North Carolina State,team
Duke,team
North Carolina-Wilmington,team
Charleston,team
Clemson,team
Wake Forest,team
Sanctioned Games\Carolina D-III College Men's CC,tournament
North Carolina-Asheville,team
High Point,team
Anderson,team
Campbell,team
Davidson,team
Elon,team
Sanctioned Games\Cascadia D-I College Men's CC,tournament
Western Washington,team
Oregon State,team
Oregon,team
Washington,team
Victoria,team
British Columbia,team
Sanctioned Games\Colonial D-I College Men's CC,tournament
Maryland-Baltimore County,team
Salisbury,team
Johns Hopkins,team
Georgetown,team
American,team
Maryland,team
George Washington,team
Delaware,team
Towson,team
Sanctioned Games\Colonial Dev College Men's CC,tournament
George Washington,team
Georgetown,team
Maryland,team
Towson,team
Delaware,team
American,team
Maryland-Baltimore County,team
Sanctioned Games\D-I College Championships,tournament
Georgia,team
Minnesota,team
Ohio State,team
California,team
North Carolina,team
Brown,team
Iowa State,team
North Carolina State,team
Michigan,team
Texas,team
Oregon,team
Tufts,team
Wisconsin,team
Victoria,team
Pittsburgh,team
Colorado,team
Northeastern,team
Washington,team
Rutgers,team
Cal Poly-SLO,team
Sanctioned Games\D-III College Championships,tournament
Michigan Tech,team
Hamilton,team
Middlebury,team
Franciscan,team
Air Force,team
Portland,team
Bryant University,team
Claremont,team
Carleton College-GoP,team
Missouri S&T,team
Colby,team
Berry,team
Richmond,team
Luther,team
Bowdoin,team
Valparaiso,team
Sanctioned Games\Desert D-I College Men's CC,tournament
New Mexico,team
Northern Arizona,team
Arizona,team
Arizona State,team
Grand Canyon,team
Sanctioned Games\East Penn D-I College Men's CC,tournament
Drexel,team
Millersville,team
Temple,team
West Chester,team
Villanova,team
Lehigh,team
Pennsylvania,team
Saint Joseph's,team
Sanctioned Games\East Penn D-III College Men's CC,tournament
Jefferson,team
Lehigh,team
Swarthmore,team
Ursinus,team
Haverford,team
Lancaster Bible,team
Muhlenberg,team
Scranton,team
Sanctioned Games\East Plains D-I College Men's CC,tournament
Indiana,team
Ball State,team
Notre Dame,team
Southern Indiana,team
Purdue,team
Kentucky,team
Sanctioned Games\East Plains D-III College Men's CC,tournament
Butler,team
Kalamazoo,team
Indiana Wesleyan,team
Kettering,team
Valparaiso,team
Rose-Hulman,team
Sanctioned Games\Eastern Southeast D-III College Men's CC,tournament
North Georgia,team
Dalton State,team
Georgia College,team
Stetson,team
Berry,team
Embry-Riddle Florida,team
Florida Tech,team
Ave Maria,team
Sanctioned Games\Florida D-I College Men's CC,tournament
South Florida,team
Miami,team
Central Florida,team
Florida Atlantic,team
Florida State,team
North Florida,team
Florida,team
Florida Gulf Coast,team
Sanctioned Games\Great Lakes D-I College Men's Regionals,tournament
Michigan,team
Chicago,team
Illinois State,team
Grand Valley State,team
Kentucky,team
Notre Dame,team
Purdue,team
Northwestern,team
Indiana,team
Loyola-Chicago,team
Illinois,team
Sanctioned Games\Great Lakes D-III College Men's Regionals,tournament
Valparaiso,team
Eastern Illinois,team
Knox,team
North Park,team
Butler,team
Wheaton Illinois,team
Olivet Nazarene,team
Rose-Hulman,team
Sanctioned Games\Great Lakes Dev College Men's CC,tournament
Michigan,team
Indiana,team
Michigan State,team
Chicago,team
Kentucky,team
Illinois,team
Notre Dame,team
Northwestern,team
Purdue,team
Sanctioned Games\Greater New England D-I College Men's CC,tournament
Massachusetts,team
Rhode Island,team
Vermont,team
Maine,team
New Hampshire,team
Brown,team
Sanctioned Games\Greater New England Dev College Men's CC,tournament
Massachusetts,team
Amherst College,team
Massachusetts Amherst,team
Dartmouth,team
Brown,team
Colby,team
Vermont,team
Sanctioned Games\Gulf Coast D-I College Men's CC,tournament
Alabama-Birmingham,team
