source,target
0,226
0,261
0,294
0,372
0,280
0,149
0,271
0,264
0,165
0,371
0,336
0,273
0,295
0,121
0,321
0,195
0,228
0,380
0,105
1,98
1,144
1,101
1,407
1,206
1,252
1,282
1,335
1,306
1,146
1,372
1,162
1,195
1,352
1,387
1,202
2,213
2,211
2,319
2,341
2,128
2,285
2,157
2,367
2,243
3,147
3,313
3,237
3,405
3,217
3,245
3,122
3,340
3,260
3,105
3,146
3,369
3,203
4,420
4,240
4,122
4,100
4,375
4,155
4,234
4,114
5,396
5,116
5,250
5,208
5,322
5,211
5,133
5,148
6,252
6,195
6,183
6,143
6,399
6,213
6,386
6,199
6,242
7,375
7,316
7,121
7,303
7,318
7,410
7,215
7,249
8,231
8,197
8,114
8,198
8,132
8,108
9,260
9,379
9,310
9,209
9,200
9,393
10,268
10,246
10,219
10,154
10,363
10,113
10,224
10,116
11,398
11,127
11,177
11,98
11,427
11,327
12,342
12,290
12,189
12,341
12,101
13,322
13,136
13,404
13,235
13,114
13,303
13,238
13,296
14,102
14,224
14,192
14,185
14,148
14,220
14,245
15,249
15,419
15,221
15,115
15,331
15,423
16,109
16,130
16,102
16,201
16,191
17,205
17,111
17,226
17,186
17,341
17,353
17,140
17,307
18,102
18,397
18,134
18,376
18,141
18,111
18,135
18,284
18,106
18,122
18,137
18,313
19,260
19,206
19,210
19,252
19,112
19,205
19,113
19,378
20,415
20,142
20,306
20,293
20,432
20,314
20,233
20,370
20,245
20,362
20,307
21,376
21,103
21,138
21,180
21,358
21,436
21,209
21,249
22,258
22,111
22,212
22,170
22,397
22,291
22,127
22,288
23,218
23,280
23,289
23,306
23,176
23,244
24,100
24,383
24,128
24,167
24,105
24,117
24,260
25,381
25,129
25,142
25,139
25,315
25,281
25,117
25,134
25,288
25,106
26,319
26,160
26,388
26,98
26,240
27,396
27,284
27,342
27,325
27,411
27,102
27,246
27,398
27,211
27,395
28,118
28,270
28,309
28,384
28,143
28,191
28,144
29,153
29,150
29,366
29,148
29,246
30,269
30,233
30,150
31,414
31,147
31,378
31,153
32,210
32,399
32,223
32,297
32,401
32,201
32,238
33,279
33,141
33,200
33,177
33,105
34,289
34,357
34,350
34,146
35,152
35,304
35,391
35,115
35,251
35,369
35,108
35,110
35,145
36,129
36,109
36,199
36,435
36,394
36,116
36,395
36,261
36,417
36,133
37,286
37,120
37,231
37,182
37,437
37,127
37,226
38,103
38,125
38,263
38,369
38,274
38,165
38,299
38,127
39,308
39,355
39,222
40,163
40,319
40,368
40,360
41,275
41,195
41,291
41,124
41,396
41,114
41,302
41,385
41,372
41,136
42,103
42,245
42,240
42,215
42,337
42,159
42,211
42,356
43,143
43,325
43,111
43,136
44,266
44,345
44,119
44,324
44,219
44,99
44,113
44,310
44,121
44,340
44,104
45,158
45,383
45,107
45,318
45,361
45,310
45,317
45,403
45,151
45,130
46,115
46,168
46,438
46,186
46,106
47,166
47,373
47,138
47,378
47,300
48,101
48,431
48,239
48,255
48,222
48,169
48,147
49,400
49,106
49,406
49,356
49,187
49,116
49,114
49,318
50,117
50,245
50,101
50,128
50,353
50,108
50,412
50,338
50,260
50,358
50,132
51,247
51,179
51,402
51,290
51,111
51,124
51,149
52,156
52,401
52,231
52,405
53,171
53,320
53,396
53,108
53,218
53,142
53,229
53,257
54,312
54,384
54,388
54,230
54,422
54,120
54,434
54,104
54,99
54,367
54,148
55,242
55,216
55,292
55,349
55,430
55,140
55,220
55,261
55,390
55,219
56,101
56,326
56,370
56,182
56,151
56,365
56,157
56,129
56,428
56,152
56,317
56,199
56,349
56,294
57,321
57,107
57,320
57,397
57,142
57,354
57,213
57,129
57,188
57,426
57,301
57,118
58,237
58,163
58,135
58,200
58,292
58,247
59,333
59,131
59,184
59,305
59,359
59,355
59,235
59,107
59,138
59,214
60,379
60,351
60,348
60,137
60,384
61,310
61,110
61,183
61,260
62,281
62,101
62,109
63,113
63,204
63,248
63,141
63,356
63,114
63,227
64,98
64,229
64,106
64,169
64,388
64,250
64,231
64,334
64,156
64,429
64,133
64,408
64,150
64,377
65,137
65,287
65,207
65,360
65,402
65,227
65,144
65,398
66,107
66,120
66,339
66,100
66,374
66,98
67,311
67,265
67,318
67,162
67,398
67,106
68,250
68,182
68,147
68,213
68,176
68,135
68,350
68,142
68,159
68,254
68,262
68,160
68,384
69,395
69,99
69,150
69,259
69,235
69,217
69,232
69,209
70,216
70,264
70,110
70,185
70,317
70,156
70,108
70,238
71,286
71,368
71,147
71,227
71,166
71,232
71,129
71,151
72,357
72,223
72,386
72,102
72,199
72,215
73,101
73,318
73,397
73,190
73,119
73,332
73,115
73,351
73,137
73,179
73,134
73,342
74,340
74,343
74,135
74,109
75,106
75,143
75,229
75,376
75,316
75,356
76,240
76,121
76,418
76,159
76,360
76,219
77,230
77,400
77,281
77,225
77,152
77,340
77,287
77,185
78,139
78,248
78,175
78,263
78,261
78,289
78,229
79,166
79,113
79,178
79,389
79,225
79,197
79,409
79,277
80,347
80,102
80,272
80,222
80,189
81,181
81,330
81,186
81,383
81,246
82,242
82,161
82,147
82,165
83,261
83,146
83,329
83,303
83,154
83,222
84,158
84,153
84,134
84,149
85,392
85,99
85,236
85,104
85,149
85,278
85,131
85,339
85,250
85,321
85,234
85,332
85,359
85,214
85,175
85,167
86,121
86,145
86,211
86,178
86,339
86,364
86,395
86,346
86,135
86,318
86,130
86,361
86,217
86,228
87,367
87,260
87,425
87,323
87,112
87,398
87,114
87,184
87,141
87,102
87,246
87,134
87,344
87,137
87,328
87,126
87,252
87,365
87,433
88,118
88,193
88,116
88,174
88,246
88,278
88,342
88,107
88,176
88,267
88,185
88,313
89,177
89,195
89,254
89,385
89,416
89,103
89,360
89,366
89,161
89,293
89,116
89,257
89,143
89,413
89,342
89,218
89,172
89,148
89,315
89,271
