source,target,weight
Johns Hopkins,East Carolina,13
Johns Hopkins,Duke,9
Johns Hopkins,North Carolina,5
Johns Hopkins,Maryland,15
Johns Hopkins,Virginia Tech,13
Johns Hopkins,William & Mary,12
Johns Hopkins,Virginia,9
Johns Hopkins,Salisbury,11
Johns Hopkins,Maryland-Baltimore County,11
Johns Hopkins,American,11
Johns Hopkins,Towson,15
Johns Hopkins,Georgetown,12
Johns Hopkins,James Madison,13
Johns Hopkins,Rutgers,13
Johns Hopkins,Middlebury,10
Johns Hopkins,Penn State,13
Johns Hopkins,RIT,13
Johns Hopkins,MIT,15
Johns Hopkins,Tennessee-Chattanooga,13
Johns Hopkins,Dayton,13
Johns Hopkins,Connecticut,15
Johns Hopkins,Purdue,15
Johns Hopkins,Georgia Tech,15
Johns Hopkins,SUNY-Buffalo,13
Johns Hopkins,North Carolina-Charlotte,13
Johns Hopkins,Michigan,12
East Carolina,Johns Hopkins,8
East Carolina,North Carolina,5
East Carolina,Duke,6
East Carolina,Liberty,9
East Carolina,South Carolina,4
East Carolina,North Carolina-Charlotte,11
East Carolina,Appalachian State,11
East Carolina,Wake Forest,11
East Carolina,Charleston,11
East Carolina,Clemson,10
East Carolina,West Chester,7
East Carolina,Virginia Commonwealth,7
East Carolina,Christopher Newport,8
East Carolina,RIT,9
East Carolina,Navy,12
East Carolina,American,14
East Carolina,William & Mary,8
East Carolina,Williams,10
East Carolina,Georgetown,13
East Carolina,Connecticut,8
East Carolina,George Mason,14
East Carolina,Princeton,15
North Carolina,East Carolina,11
North Carolina,Johns Hopkins,13
North Carolina,Virginia Tech,13
North Carolina,South Carolina,12
North Carolina,Georgetown,11
North Carolina,North Carolina State,15
North Carolina,Appalachian State,13
North Carolina,North Carolina-Charlotte,11
North Carolina,California,15
North Carolina,Georgia,15
North Carolina,Minnesota,15
North Carolina,Brown,13
North Carolina,Cal Poly-SLO,15
North Carolina,Wisconsin,12
North Carolina,William & Mary,13
North Carolina,James Madison,13
North Carolina,Virginia,11
North Carolina,Towson,12
North Carolina,Lehigh,9
North Carolina,Pennsylvania,13
North Carolina,MIT,11
North Carolina,Villanova,13
North Carolina,Penn State,12
North Carolina,Carleton College-GoP,13
North Carolina,Richmond,13
North Carolina,North Carolina-Wilmington,15
North Carolina,Florida State,15
North Carolina,Harvard,13
North Carolina,Carleton College-CUT,12
North Carolina,Massachusetts,15
North Carolina,Vermont,7
North Carolina,Mary Washington,13
North Carolina,Virginia Commonwealth,10
North Carolina,Davidson,12
North Carolina,George Mason,15
North Carolina,Drexel University,15
North Carolina,American,10
North Carolina,Liberty,10
North Carolina,Wake Forest,13
North Carolina,Rutgers,8
North Carolina,Maryland-Baltimore County,15
North Carolina,Ohio State,11
North Carolina,Dartmouth,13
North Carolina,Tennessee,13
North Carolina,Alabama,15
North Carolina,Victoria,13
North Carolina,Texas,13
Duke,Johns Hopkins,11
Duke,East Carolina,11
Duke,Maryland,11
Duke,James Madison,11
Duke,Georgetown,13
Duke,North Carolina State,7
Duke,Wake Forest,11
Duke,Clemson,15
Duke,Charleston,11
Duke,North Carolina-Wilmington,7
Duke,North Carolina-Charlotte,11
Duke,Appalachian State,13
Duke,Middlebury,11
Duke,Penn State,11
Duke,MIT,14
Duke,Villanova,14
Duke,George Washington,13
Duke,Richmond,7
Duke,Carleton College-GoP,10
Duke,California,6
Duke,Cal Poly-SLO,11
Duke,Stanford,6
Duke,Claremont,8
North Carolina State,Virginia,5
North Carolina State,Appalachian State,13
North Carolina State,Maryland,13
North Carolina State,North Carolina,12
North Carolina State,North Carolina-Wilmington,15
North Carolina State,Duke,11
North Carolina State,Charleston,11
North Carolina State,Clemson,11
North Carolina State,Wake Forest,11
North Carolina State,Michigan,14
North Carolina State,Brown,10
North Carolina State,Iowa State,15
North Carolina State,Texas,13
North Carolina State,Tufts,12
North Carolina State,William & Mary,13
North Carolina State,Virginia Tech,8
North Carolina State,James Madison,11
North Carolina State,South Carolina,13
North Carolina State,Temple,13
North Carolina State,Florida State,13
North Carolina State,Emory,15
North Carolina State,Carleton College-GoP,15
North Carolina State,Tennessee,13
North Carolina State,Massachusetts,16
North Carolina State,Pittsburgh,5
North Carolina State,Northeastern,13
North Carolina State,Auburn,13
North Carolina State,Carleton College-CUT,8
North Carolina State,Rhode Island,13
North Carolina State,Ohio,5
North Carolina State,Delaware,7
North Carolina State,University of Pittsburgh,1
North Carolina State,Campbell,10
North Carolina State,North Carolina-Charlotte,13
North Carolina State,Carnegie Mellon,12
North Carolina State,Notre Dame,13
North Carolina State,Alabama,11
North Carolina State,Ohio State,15
Virginia,North Carolina State,10
Virginia,Maryland,7
Virginia,Appalachian State,12
Virginia,Johns Hopkins,15
Virginia,James Madison,7
Virginia,Georgetown,14
Virginia,George Washington,15
Virginia,Delaware,13
Virginia,Virginia Tech,12
Virginia,William & Mary,8
Virginia,South Carolina,9
Virginia,North Carolina,5
Virginia,George Mason,13
Virginia,Liberty,15
Virginia,Radford,15
Virginia,Minnesota,9
Virginia,California-Santa Barbara,10
Virginia,Oregon,8
Virginia,Massachusetts,6
Virginia,Northeastern,11
Virginia,Harvard,12
Virginia,North Carolina-Wilmington,7
Virginia,Tennessee-Chattanooga,12
Virginia,Dayton,13
Virginia,Connecticut,13
Virginia,Vermont,15
Virginia,Indiana,14
Virginia,Rutgers,11
Virginia,High Point,10
Virginia,Wake Forest,10
Virginia,Cornell,9
Virginia,Ohio,10
Virginia,Auburn,9
Virginia,Chicago,12
Virginia,Dartmouth,15
Virginia,Tulane,15
Maryland,Appalachian State,12
Maryland,Virginia,10
Maryland,North Carolina State,8
Maryland,Johns Hopkins,12
Maryland,North Carolina-Wilmington,14
Maryland,South Carolina,10
Maryland,Duke,14
Maryland,George Washington,10
Maryland,James Madison,11
Maryland,American,13
Maryland,Towson,13
Maryland,Delaware,6
Maryland,Georgetown,11
Maryland,Maryland-Baltimore County,11
Maryland,Brown,9
Maryland,Northeastern,12
Maryland,Auburn,11
Maryland,Georgia,13
Maryland,William & Mary,11
Maryland,Northwestern,10
Maryland,Shenandoah,11
Maryland,Virginia Tech,0
Maryland,Cornell,13
Maryland,Cedarville,5
Maryland,High Point,8
Maryland,George Mason,13
Maryland,Drexel,13
Maryland,Temple,12
Maryland,SUNY-Geneseo,15
Maryland,Tulane,12
Maryland,Penn State,10
Maryland,Massachusetts,8
Maryland,Clemson,12
Maryland,Alabama,12
Maryland,Ohio,15
Appalachian State,Maryland,11
Appalachian State,North Carolina State,6
Appalachian State,Virginia,6
Appalachian State,North Carolina,2
Appalachian State,Liberty,13
Appalachian State,East Carolina,10
Appalachian State,South Carolina,11
Appalachian State,Clemson,10
Appalachian State,Charleston,13
Appalachian State,Wake Forest,11
Appalachian State,Duke,8
Appalachian State,Florida State,9
Appalachian State,Temple,8
Appalachian State,Tennessee,9
Appalachian State,Anderson,10
Appalachian State,Georgia,13
Appalachian State,North Carolina-Charlotte,9
Appalachian State,Georgia College,12
Appalachian State,Georgia Southern,13
Appalachian State,Carleton Hot Karls,13
Appalachian State,California-San Diego,13
Appalachian State,Middlebury,8
Appalachian State,Luther,14
Appalachian State,Dartmouth,13
Appalachian State,Ohio State,6
Appalachian State,Auburn,5
Appalachian State,Notre Dame,15
North Carolina-Wilmington,Liberty,13
North Carolina-Wilmington,James Madison,13
North Carolina-Wilmington,William & Mary,8
North Carolina-Wilmington,North Carolina State,11
North Carolina-Wilmington,Maryland,15
North Carolina-Wilmington,Charleston,11
North Carolina-Wilmington,Clemson,11
North Carolina-Wilmington,Wake Forest,11
North Carolina-Wilmington,Duke,11
North Carolina-Wilmington,Georgia Tech,13
North Carolina-Wilmington,Tennessee,10
North Carolina-Wilmington,Georgetown,10
North Carolina-Wilmington,North Carolina,10
North Carolina-Wilmington,Notre Dame,15
North Carolina-Wilmington,Emory,15
North Carolina-Wilmington,Georgia,13
North Carolina-Wilmington,Carnegie Mellon,13
North Carolina-Wilmington,Northeastern,8
North Carolina-Wilmington,Massachusetts,7
North Carolina-Wilmington,Tufts,11
North Carolina-Wilmington,Pittsburgh,4
North Carolina-Wilmington,Northwestern,11
North Carolina-Wilmington,Harvard,9
North Carolina-Wilmington,Virginia,9
North Carolina-Wilmington,Chicago,12
North Carolina-Wilmington,Auburn,12
North Carolina-Wilmington,Ohio,10
Liberty,North Carolina-Wilmington,5
Liberty,William & Mary,7
Liberty,James Madison,5
Liberty,Appalachian State,11
Liberty,East Carolina,13
Liberty,George Mason,12
Liberty,Virginia,6
Liberty,George Washington,8
Liberty,Virginia Commonwealth,12
Liberty,NYU,9
Liberty,RIT,11
Liberty,Lehigh,8
Liberty,Penn State,7
Liberty,Williams,12
Liberty,Davidson,13
Liberty,Mary Washington,9
Liberty,American,13
Liberty,Rutgers,10
Liberty,North Carolina,11
Liberty,Wake Forest,13
Liberty,Brandeis,9
Liberty,Drexel University,15
William & Mary,James Madison,12
William & Mary,Liberty,13
William & Mary,North Carolina-Wilmington,11
William & Mary,Johns Hopkins,11
William & Mary,Georgetown,13
William & Mary,South Carolina,0
William & Mary,North Carolina State,6
William & Mary,Virginia,11
William & Mary,North Carolina,7
William & Mary,Virginia Tech,11
William & Mary,Radford,15
William & Mary,Tufts,9
William & Mary,Northwestern,12
William & Mary,Pittsburgh,9
William & Mary,Minnesota,8
William & Mary,Maryland,12
William & Mary,Cedarville,0
William & Mary,Cornell,11
William & Mary,Wake Forest,8
William & Mary,Drexel University,13
William & Mary,Tennessee-Chattanooga,15
