source,target,weight
Middlebury (1),Franciscan (12),11
Middlebury (1),Hamilton (13),12
Middlebury (1),Michigan Tech (8),14
Middlebury (1),Air Force (2),15
Middlebury (1),Richmond (4),12
Middlebury (1),Bryant (7),15
Franciscan (12),Middlebury (1),10
Franciscan (12),Michigan Tech (8),8
Franciscan (12),Hamilton (13),12
Franciscan (12),Valparaiso (16),15
Franciscan (12),Colby (6),15
Michigan Tech (8),Hamilton (13),13
Michigan Tech (8),Franciscan (12),15
Michigan Tech (8),Middlebury (1),9
Michigan Tech (8),Bowdoin (5),10
Michigan Tech (8),Portland (11),4
Hamilton (13),Michigan Tech (8),11
Hamilton (13),Middlebury (1),10
Hamilton (13),Franciscan (12),13
Hamilton (13),Luther (9),5
Hamilton (13),Berry (15),7
Air Force (2),Portland (11),12
Air Force (2),Claremont (14),14
Air Force (2),Bryant (7),11
Air Force (2),Middlebury (1),12
Air Force (2),Carleton College-GoP (3),15
Air Force (2),Bowdoin (5),15
Portland (11),Air Force (2),5
Portland (11),Bryant (7),4
Portland (11),Claremont (14),11
Portland (11),Berry (15),15
Portland (11),Michigan Tech (8),15
Bryant (7),Claremont (14),15
Bryant (7),Portland (11),13
Bryant (7),Air Force (2),7
Bryant (7),Middlebury (1),9
Bryant (7),Colby (6),12
Bryant (7),Missouri S&T (10),8
Claremont (14),Bryant (7),2
Claremont (14),Air Force (2),3
Claremont (14),Portland (11),12
Claremont (14),Missouri S&T (10),6
Claremont (14),Colby (6),8
Claremont (14),Valparaiso (16),9
Carleton College-GoP (3),Missouri S&T (10),11
Carleton College-GoP (3),Berry (15),15
Carleton College-GoP (3),Colby (6),14
Carleton College-GoP (3),Air Force (2),13
Carleton College-GoP (3),Luther (9),15
Missouri S&T (10),Carleton College-GoP (3),10
Missouri S&T (10),Colby (6),11
Missouri S&T (10),Berry (15),12
Missouri S&T (10),Richmond (4),11
Missouri S&T (10),Claremont (14),14
Missouri S&T (10),Bryant (7),15
Colby (6),Berry (15),11
Colby (6),Missouri S&T (10),8
Colby (6),Carleton College-GoP (3),5
Colby (6),Bryant (7),5
Colby (6),Claremont (14),11
Colby (6),Franciscan (12),12
Berry (15),Colby (6),9
Berry (15),Carleton College-GoP (3),6
Berry (15),Missouri S&T (10),10
Berry (15),Portland (11),5
Berry (15),Hamilton (13),14
Richmond (4),Luther (9),10
Richmond (4),Valparaiso (16),11
Richmond (4),Bowdoin (5),9
Richmond (4),Middlebury (1),11
Richmond (4),Missouri S&T (10),15
Luther (9),Richmond (4),8
Luther (9),Bowdoin (5),13
Luther (9),Valparaiso (16),14
Luther (9),Carleton College-GoP (3),10
Luther (9),Hamilton (13),14
Bowdoin (5),Valparaiso (16),10
Bowdoin (5),Luther (9),14
Bowdoin (5),Richmond (4),11
Bowdoin (5),Air Force (2),10
Bowdoin (5),Michigan Tech (8),13
Valparaiso (16),Bowdoin (5),6
Valparaiso (16),Richmond (4),6
Valparaiso (16),Luther (9),9
Valparaiso (16),Franciscan (12),11
Valparaiso (16),Claremont (14),15
